scenario,min_equivalent_demand,mean_equivalent_demand,peak_equivalent_demand,peak_time,peak_on_demand,peak_spot,batch_total_work,batch_average_per_slot
scen_01,27.321548953755368,30.290680827548837,34.008601851968336,12,15.75094164485621,0.0,438.183844970691,18.257660207112124
scen_02,26.206441584740038,29.722676244247538,32.9230703770411,17,14.88749938037919,0.0,432.85370391988585,18.03557099666191
scen_03,27.385435977703843,30.114629034684032,33.5478826711454,12,15.444968984583458,0.0,434.46992847748675,18.102913686561948
scen_04,27.707714837628885,29.870341973821294,32.770300037499254,17,15.131782412753736,0.0,423.3244229938925,17.63851762474552
scen_05,26.170981497133855,29.744757774636025,32.053776312857906,13,13.993281333709369,0.0,433.4518794995648,18.060494979148533
scen_06,26.557029291676763,29.213909906259715,32.32252877897799,13,14.814707491176884,0.0,420.18771090722646,17.507821287801104
scen_07,26.476508125843054,29.748045603407032,32.617929186954356,13,14.738563347608938,0.0,429.1047801442899,17.879365839345414
scen_08,26.404325471401428,29.89787647271098,33.31238678265968,19,15.22840070908745,0.0,434.01566576573356,18.08398607357223
scen_09,27.844063896046073,29.641455951774024,32.794758877961,19,14.460990953928533,0.0,440.0104301767793,18.333767924032472
scen_10,28.467855422797147,30.494550502138058,34.21904239941249,12,15.906593834171332,0.0,439.4987655657878,18.31244856524116
