vm_id,hours,start_time,end_time,vm_category,vCPU,avg_cpu_mean,avg_mean,avg_peak,max_peak,selection_score,workload_type,workload_id
kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,24,0,23,Delay-insensitive,2,23.623368490089494,0.4724673698017899,0.586079279580406,1.091302765217261,0.8589049708847212,batch,bj_00
c+V1miiXAjC39gJPKi8VLgWTMB1GnHrD9zP63NK6jpnvTEgHwYtSow5IioMGbup0,24,0,23,Delay-insensitive,2,31.989661273163037,0.6397932254632608,0.8588284148284872,1.5525522891173291,1.2469664871078194,batch,bj_01
boUqJHDgRh10WLxprzw8q/jOAMFFnG+7MI+Gvva4Sh4JJdXk2P6/QtAjCus4cQb8,24,0,23,Delay-insensitive,2,81.14399025135286,1.6228798050270574,1.8908408525195128,1.9810640199311171,2.386106857502292,batch,bj_02
CRwl7ZiqtPx18z3SakzMJq1HG5FcO3AT6MKHv/KiV8YwLFLlIszdAt4MAB+rnHOX,24,0,23,Delay-insensitive,8,20.70046214185884,1.6560369713487073,2.0878161979670686,6.473897741899297,3.706290633441893,batch,bj_03
0SAPExXBVNm1n/LJERowbfs02+Z92dXJxelghgeqE2EXNBHqYQbeKNCIWnzXN+CG,24,0,23,Delay-insensitive,2,31.42857056954549,0.6285714113909098,0.8964159471392175,1.933798309454624,1.3798655245028735,batch,bj_04
DHOkG1LZSpU6TzoutoSEDGpZobdiyeLcobigr2nkdP0docLcAF2bJMjIFmKJPyrj,24,0,23,Delay-insensitive,4,95.79444014048067,3.831777605619227,3.887594790238084,3.9345030364981057,4.871220549362611,batch,bj_05
zVvXOf/RCkusl6YfQutgdW4mFv9E9zMR3TBU4DxqnaxC4WsUFqzEYWyA2DATz67V,24,0,23,Delay-insensitive,2,48.72549612103629,0.9745099224207258,0.9804153845730892,1.5196082983960233,1.360317459172095,batch,bj_06
uRgzAuFYJ/5hLIHqkK9w8KBKHpTMJhuS8VLxO+ymTRgS1sWcZpOEbn2Sy69cj3sp,24,0,23,Delay-insensitive,4,23.472061787043838,0.9388824714817535,1.2957330305916654,3.786132730890348,2.2422662133142524,batch,bj_07
ByDBijQTqSxjKYuoGavGwa3V7jiMbDXL27AIGnzNhnWmnH5BZ6lebmFxTfKJdTpx,24,0,23,Delay-insensitive,4,23.745677288889055,0.9498270915555621,1.2844147578863263,3.7339238161824766,2.2178957119319453,batch,bj_08
08nJMBOcjcIht+vJykHJmdO/UfqjK+aipnOZ0qPB1va24yDWb5PrcMxVkojluBfb,24,0,23,Delay-insensitive,8,42.74125346272748,3.4193002770181984,3.669421931465844,5.661008926961077,5.084674163206113,batch,bj_09
8NzZdPpdzL74ZGp0Kt6elN4uro3rkdXR7cckdvRe3r3yL8kG5u+DqrKaKekk5KOZ,24,0,23,Delay-insensitive,2,30.868817760061436,0.6173763552012287,0.6746076883256283,1.6806621539836015,1.0947732268215287,batch,bj_10
/kHxI/cTHpjkUx/A2Iw700amzQwtf+/n5lWkizhV1TDdTfAHbVwfwPlNwOBdFDjh,24,0,23,Delay-insensitive,2,33.45335147447336,0.6690670294894673,0.6931237846354257,1.956970721424603,1.1823664649915764,batch,bj_11
3K7yATOJ6wis5fC6ea67tg9en1hO93rMJr1vs1oS4i/kp5QTfp9zbYaLQSM4yNPY,24,0,23,Interactive,2,51.636656238054776,1.0327331247610956,1.255291100926386,1.8368761262757187,1.7145101324953158,on_demand,od_00
8652eF6yN1G/CxNGuXLoCxsOjvdkG750Jv6Rl6FQPJAQcgTry3Uiczwm3sW13sdF,24,0,23,Interactive,4,46.35716938739779,1.8542867754959114,2.0019880483600594,2.9698404407710086,2.7444481585528115,on_demand,od_01
Eg2RZ0A85wRUJXHt7kqDsUgEXsXqt9XA62asrbIEjAyYkPOT5NxQuZQyUEsuwyG5,7,17,23,Interactive,4,23.574082865299637,0.9429633146119855,1.0955140333168747,2.6872681297707,1.7673310657595498,on_demand,od_02
I4oQWU90RaC8kuwyy2H0N0DStcbIF/jAU0R8zmKj00j68f8V6/ZyzpBPrh/kZNGQ,24,0,23,Interactive,2,21.55208568051601,0.4310417136103202,0.7025411219083185,1.8718617134778464,1.17050655027778,on_demand,od_03
KlAJ0eo4enhYyxofZDVmfP+EHmJiNhFruMR9333iSSBk51xdLvDaBWuR02P1iNW/,24,0,23,Interactive,2,24.16649814428835,0.483329962885767,0.5066660895485466,1.6281388770037757,0.9137008087994906,on_demand,od_04
Q9hKqATENmFFoVQtTgJ1GX1hlzQd1+7O4o47ys2tdtYjuMgVhS42BX8qD1UPDcD8,24,0,23,Interactive,2,46.32017465145025,0.9264034930290049,1.1076901972975253,1.8006193206387036,1.557845027457201,on_demand,od_05
SxgTBgDuZKf26DCy/2TwSrnHvMDqOthqB6+zEX8jJmMbITWO57wwE/eoidCKJe0p,24,0,23,Interactive,4,21.02673586717349,0.8410694346869395,1.710604242833567,2.83453410790656,2.419237769810207,on_demand,od_06
UxREJmBeO+PYceQOXOB2QuxOVTbEtwS6mMSKT4d5vwHTK5sJ2Nqqs9zlvSL9rnRO,24,0,23,Interactive,2,89.77220456298443,1.7954440912596887,1.9240718391399096,1.9828391176118152,2.4197816185428636,on_demand,od_07
ikUOL2Xv1pJG3uN7MBgzu0g5Q00ZxhRv2KHow2Mlnefyh8vrMiNbrHUtbdbRSsje,24,0,23,Interactive,2,69.03295790770647,1.3806591581541294,1.8649941458188928,1.9781225317430116,2.3595247787546456,on_demand,od_08
kA+974NWGyleehyXRATxT/d3BXjtlpk7dO4YyWBejW0dt3nCsOxoCZQW9qqrr3UW,24,0,23,Interactive,2,21.64599098954643,0.43291981979092853,0.6037453857223702,1.8581068414352169,1.0682720960811745,on_demand,od_09
