scenario,min_equivalent_demand,mean_equivalent_demand,peak_equivalent_demand,peak_time,peak_on_demand,peak_spot,batch_total_work,batch_average_per_slot
scen_01,25.6328503603928,30.346485139626598,36.72875464526712,12,36.72875464526712,0.0,0.0,0.0
scen_02,24.780379974529147,30.24602557259506,36.347284343650294,11,36.347284343650294,0.0,0.0,0.0
scen_03,25.388997874794736,30.98059652346387,39.101851758723825,13,39.101851758723825,0.0,0.0,0.0
scen_04,25.339494943041295,30.501440010358465,38.95488268388363,12,38.95488268388363,0.0,0.0,0.0
scen_05,24.89562251296381,30.391138309244806,36.23780333639759,12,36.23780333639759,0.0,0.0,0.0
scen_06,25.404772592055682,30.10349611976629,37.72655670684885,13,37.72655670684885,0.0,0.0,0.0
scen_07,24.470766182384892,30.379232945161746,35.93346157033326,12,35.93346157033326,0.0,0.0,0.0
scen_08,23.17572159019982,30.006443824878996,37.11485792548525,11,37.11485792548525,0.0,0.0,0.0
scen_09,23.46696913387865,30.04178822849673,37.64147316481029,12,37.64147316481029,0.0,0.0,0.0
scen_10,24.14901055328002,30.55830868605361,38.925899307738234,11,38.925899307738234,0.0,0.0,0.0
