vm_id,hours,start_time,end_time,vm_category,vCPU,avg_cpu_mean,avg_mean,avg_peak,max_peak,selection_score,workload_type,workload_id
sxKhPejNNLRheHcCEm5TwzM/sV+ukMFMg0cK10Cmi6yb1CTzVlE9EOES02SvaPwP,24,0,23,Delay-insensitive,2,61.66696271268652,1.2333392542537303,1.6296200212251049,1.78786069519242,2.0765851950232097,batch,bj_00
0SAPExXBVNm1n/LJERowbfs02+Z92dXJxelghgeqE2EXNBHqYQbeKNCIWnzXN+CG,24,0,23,Delay-insensitive,2,31.42857056954549,0.6285714113909098,0.8964159471392175,1.933798309454624,1.3798655245028735,batch,bj_01
AL5baEZPeLVXO9z2wmcOYuKcOyoMpHQDRBesa3Skcq1Y6ZrUvHTZM5f52+PEDnfb,24,0,23,Delay-insensitive,2,52.324786512639584,1.0464957302527917,1.1022798527496045,1.877074277555652,1.5715484221385174,batch,bj_02
CRwl7ZiqtPx18z3SakzMJq1HG5FcO3AT6MKHv/KiV8YwLFLlIszdAt4MAB+rnHOX,24,0,23,Delay-insensitive,8,20.70046214185884,1.6560369713487073,2.0878161979670686,6.473897741899297,3.706290633441893,batch,bj_03
Bnry0PmCFHxuv+YDfqsslyGNPmUdKYym6L+fLvC8SzOTAF+xcTold7kM5cqnkOHa,2,10,11,Delay-insensitive,4,33.91579984496366,1.3566319937985463,1.801669045118631,3.0881690291192534,2.5737113023984444,batch,bj_04
X2tRyioCFtD4fYCURz9g1yDcz5TiXI9e5dWdFawUwcTHSQiYIqhqvm3ICa2dOJXx,24,0,23,Delay-insensitive,2,79.70717583217234,1.5941435166434468,1.8816002750795724,1.9778294918532973,2.3760576480428965,batch,bj_05
uRgzAuFYJ/5hLIHqkK9w8KBKHpTMJhuS8VLxO+ymTRgS1sWcZpOEbn2Sy69cj3sp,24,0,23,Delay-insensitive,4,23.472061787043838,0.9388824714817535,1.2957330305916654,3.786132730890348,2.2422662133142524,batch,bj_06
mxKPpuTEqcVdIcmLS9fx8+iVA9rzLwCQMNwm1BEPcpu3Ximm4LXWRL8nsIldU0Ag,24,0,23,Delay-insensitive,2,55.581398902745825,1.1116279780549165,1.4976557213717312,1.922376753685869,1.9782499097931985,batch,bj_07
3K7yATOJ6wis5fC6ea67tg9en1hO93rMJr1vs1oS4i/kp5QTfp9zbYaLQSM4yNPY,24,0,23,Interactive,2,51.636656238054776,1.0327331247610956,1.255291100926386,1.8368761262757187,1.7145101324953158,on_demand,od_00
FVuELEKyd49lmZjQvji3TA6DE/00QoM9JtVoy67ampLYnmXU3W6qIYhewu9HCrMS,24,0,23,Interactive,2,49.60867818665513,0.9921735637331025,1.2158005708589952,1.8757616156244952,1.684740974765119,on_demand,od_01
H+GpMhnpjAivw8ZgF7hTTWgXBg9rjLVgNY9qkaKq+zzM+zAKb6cA2stdAayEafZS,24,0,23,Interactive,4,23.161336567263003,0.92645346269052,1.370958507344165,1.9704007457018768,1.8635586937696342,on_demand,od_02
Q9hKqATENmFFoVQtTgJ1GX1hlzQd1+7O4o47ys2tdtYjuMgVhS42BX8qD1UPDcD8,24,0,23,Interactive,2,46.32017465145025,0.9264034930290049,1.1076901972975253,1.8006193206387036,1.557845027457201,on_demand,od_03
