batch_job_id,parent_workload_id,source_time,vm_id,vCPU,min_core_usage,avg_core_usage,max_core_usage
bj_00_t00,bj_00,0,CAH1SuMH7zOLHIIow6OBLnVZ0b7RrbjSRmciEiqp7Dg8xDZDsRta3Lyaw3RfbZ5s,4,0.0629595156247867,0.1674248779987738,2.208828516874893
bj_00_t01,bj_00,1,CAH1SuMH7zOLHIIow6OBLnVZ0b7RrbjSRmciEiqp7Dg8xDZDsRta3Lyaw3RfbZ5s,4,0.0636687324364206,0.1449007812225977,1.9931482346229636
bj_00_t02,bj_00,2,CAH1SuMH7zOLHIIow6OBLnVZ0b7RrbjSRmciEiqp7Dg8xDZDsRta3Lyaw3RfbZ5s,4,0.0653699755532545,0.1345153791555084,1.9330739769915388
bj_00_t03,bj_00,3,CAH1SuMH7zOLHIIow6OBLnVZ0b7RrbjSRmciEiqp7Dg8xDZDsRta3Lyaw3RfbZ5s,4,0.0590462175107066,0.1248274677625222,1.8921996419579992
bj_00_t04,bj_00,4,CAH1SuMH7zOLHIIow6OBLnVZ0b7RrbjSRmciEiqp7Dg8xDZDsRta3Lyaw3RfbZ5s,4,0.055836232921818,0.1311669512839818,1.983599951506989
bj_00_t05,bj_00,5,CAH1SuMH7zOLHIIow6OBLnVZ0b7RrbjSRmciEiqp7Dg8xDZDsRta3Lyaw3RfbZ5s,4,0.0565186375667598,0.1292882515817915,1.9612962535621152
bj_00_t06,bj_00,6,CAH1SuMH7zOLHIIow6OBLnVZ0b7RrbjSRmciEiqp7Dg8xDZDsRta3Lyaw3RfbZ5s,4,0.0536378156231023,0.1300390743593048,1.9430371760741745
bj_00_t07,bj_00,7,CAH1SuMH7zOLHIIow6OBLnVZ0b7RrbjSRmciEiqp7Dg8xDZDsRta3Lyaw3RfbZ5s,4,0.0552194542846375,0.1293716184595698,1.8159886058823869
bj_00_t08,bj_00,8,CAH1SuMH7zOLHIIow6OBLnVZ0b7RrbjSRmciEiqp7Dg8xDZDsRta3Lyaw3RfbZ5s,4,0.0547896831195638,0.1300944824919201,1.6662583225631216
bj_00_t09,bj_00,9,CAH1SuMH7zOLHIIow6OBLnVZ0b7RrbjSRmciEiqp7Dg8xDZDsRta3Lyaw3RfbZ5s,4,0.0582473188747972,0.5943726868744161,3.478974107634885
bj_00_t10,bj_00,10,CAH1SuMH7zOLHIIow6OBLnVZ0b7RrbjSRmciEiqp7Dg8xDZDsRta3Lyaw3RfbZ5s,4,0.0601666993072449,0.1235039552963873,1.9971571083861213
bj_00_t11,bj_00,11,CAH1SuMH7zOLHIIow6OBLnVZ0b7RrbjSRmciEiqp7Dg8xDZDsRta3Lyaw3RfbZ5s,4,0.059480459954868,1.4557237948510369,3.813516547484944
bj_00_t12,bj_00,12,CAH1SuMH7zOLHIIow6OBLnVZ0b7RrbjSRmciEiqp7Dg8xDZDsRta3Lyaw3RfbZ5s,4,1.6823125001597492,2.2195780102459,3.236316821273685
