scenario,min_equivalent_demand,mean_equivalent_demand,peak_equivalent_demand,peak_time,peak_on_demand,peak_spot,batch_total_work,batch_average_per_slot
scen_01,30.700899575525334,34.178875534295635,37.97502252580138,13,13.968262624816745,11.599979752172723,319.2891248612068,13.303713535883617
scen_02,30.688443935833234,34.13513841796297,39.67709114380571,16,14.666094882705288,11.945857032891515,327.3554426056162,13.63981010856734
scen_03,29.398517382030796,34.05968934070285,37.1275886194072,19,13.356355100383306,12.306927845573506,320.7908236670681,13.36628431946117
scen_04,29.59447837174561,33.44086808150501,37.650975853167765,16,14.199647041163043,11.65381858812384,318.180040349969,13.257501681248707
scen_05,29.07789441822247,34.0102606213271,37.70702959695618,17,15.383590658248455,11.934536206436537,319.27673985857547,13.30319749410731
scen_06,29.565831828139757,32.79001185118593,36.12933213278285,13,13.941847403678393,11.928729035438604,300.6893659112857,12.528723579636903
scen_07,32.06256406209657,34.21108861400035,38.72361201991282,15,15.554991769469897,11.742436670904885,328.87489127749,13.703120469895417
scen_08,30.346593859160215,34.25718826094576,37.96542587877001,12,13.25388910129556,11.453757402100676,335.9859216872334,13.999413403634724
scen_09,29.674625587984316,33.75184799937268,38.100945827821675,15,14.596281299658452,11.781270925177239,320.7530983430966,13.364712430962358
scen_10,28.650933114370652,34.154780257660725,37.479023353480976,17,14.204467434330528,12.171590058743789,321.87264261287106,13.411360108869628
