scenario,min_equivalent_demand,mean_equivalent_demand,peak_equivalent_demand,peak_time,peak_on_demand,peak_spot,batch_total_work,batch_average_per_slot
scen_01,23.97680514843515,25.94253251335269,27.85873478162403,10,6.118514230824532,6.939922842794071,376.792934420557,15.699705600856541
scen_02,22.991042812108454,25.469761548310814,27.160302970628948,6,6.241958332512665,6.6839152552987136,372.9638562272379,15.540160676134912
scen_03,23.669802673119186,25.523004497842482,27.369879251229193,0,6.0480897750855735,6.872508792397854,375.4202624669674,15.642510936123642
scen_04,23.464525570333684,25.74253829400121,27.350273654140324,22,6.22427498859869,6.648134445609793,372.90295472681134,15.537623113617139
scen_05,22.423196259766232,25.1483999655278,27.238500913202003,22,6.864223986264519,7.098231730115747,363.2805152769499,15.136688136539581
scen_06,22.730903274670567,24.91124152515245,27.565043869921727,19,5.6772387655207766,7.873084170701373,359.182049065568,14.965918711065333
scen_07,23.592508035435316,26.15264130162053,28.3642342503012,11,6.017342467477219,7.645791657283011,383.0832744323048,15.961803101346034
scen_08,23.60507602484075,25.637254922486623,27.724258218205065,22,6.2346296075743295,6.598886298317786,373.6745831438291,15.569774297659547
scen_09,23.670419650110624,25.935023945235674,27.735869455504353,5,6.0552966865342865,7.407620738903599,381.7031686693913,15.904298694557971
scen_10,23.743031840347413,25.664817458704423,28.715652184370974,10,6.497064135765422,7.602021385379752,376.4484023627067,15.685350098446113
