scenario,min_equivalent_demand,mean_equivalent_demand,peak_equivalent_demand,peak_time,peak_on_demand,peak_spot,batch_total_work,batch_average_per_slot
scen_01,24.181830445065813,29.842767786071096,35.15442919860543,14,19.005490996884312,10.916499103935916,157.88192864782008,6.5784136936591695
scen_02,25.273227544009963,29.551817206906804,34.89243895903709,13,19.420682607123766,10.08362178873909,153.96483768058937,6.415201570024557
scen_03,24.846699636374147,29.391610038684714,35.85235490096989,13,19.36612999575228,9.997341726092758,157.44945671447684,6.560394029769868
scen_04,22.443304451973194,29.600079391063094,34.72518175565398,18,18.906396437818795,10.143104123297018,149.5940184011585,6.233084100048271
scen_05,24.321832061402585,29.807585385751214,35.68310973711337,18,18.65163158780206,10.467380486407919,157.5383439096813,6.564097662903387
scen_06,22.577058916890692,29.251469906168648,36.40263808965551,12,19.507416964425502,10.401735652428851,160.18747472893594,6.674478113705664
scen_07,23.607564473926768,29.60925310822732,35.24534292893253,13,18.90175500219322,10.521337576596153,157.07486745693438,6.544786144038933
scen_08,22.53025880759492,29.384215947739744,35.67286617402639,11,19.12856675214524,9.902435334482426,166.86641758775048,6.952767399489603
scen_09,23.826898282634183,29.36481642713714,36.41534456817469,18,19.956131655579007,9.988053259865435,156.11860801389827,6.504942000579095
scen_10,25.41922414962177,29.62597446851079,34.767384083212384,13,19.189003244056867,10.11474925452716,158.23999630472477,6.593333179363532
