scenario,min_equivalent_demand,mean_equivalent_demand,peak_equivalent_demand,peak_time,peak_on_demand,peak_spot,batch_total_work,batch_average_per_slot
scen_01,22.726808291659705,27.56832264338925,34.62589950494571,14,4.669349526643538,26.840891875394213,81.02184477251774,3.3759101988549056
scen_02,22.23712996716083,27.41989714530071,32.95355856113238,13,4.908268294936196,25.230895602184194,79.41149213529908,3.3088121723041284
scen_03,23.18652508923019,27.71000335218949,32.87695969735743,15,5.1056245000960665,25.32446447523648,84.78582815994186,3.5327428399975775
scen_04,22.621890779752345,27.03617440715152,33.03803051912278,18,4.884775899797972,25.53512719339187,82.09591617107634,3.4206631737948476
scen_05,23.04475105116463,27.19817595828825,34.93549483839467,13,5.317202399760506,26.749098082780776,75.5835722002154,3.1493155083423083
scen_06,21.41872564967842,26.693242252243575,33.59333637809624,14,4.868608467767897,26.42642208826891,81.89469708059566,3.4122790450248193
scen_07,23.17776483580113,27.967983498650543,33.179395458054444,13,5.558387184946275,24.985014822576375,88.32923069035434,3.680384612098097
scen_08,20.94193046634134,27.814993067921563,32.305737597180254,17,4.879005239487852,25.72981739367211,84.98282014637077,3.5409508394321154
scen_09,20.92823437222793,27.43243092338589,30.9166126950209,14,4.8181492734164255,24.39124419776911,84.04079807898118,3.501699919957549
scen_10,23.43220691761289,27.495509485093084,31.863310615166018,14,4.473019132454864,24.79337865314357,82.34180259007333,3.4309084412530555
