vm_id,hours,start_time,end_time,vm_category,vCPU,avg_cpu_mean,avg_mean,avg_peak,max_peak,selection_score,workload_type,workload_id
zVvXOf/RCkusl6YfQutgdW4mFv9E9zMR3TBU4DxqnaxC4WsUFqzEYWyA2DATz67V,24,0,23,Delay-insensitive,2,48.72549612103629,0.9745099224207258,0.9804153845730892,1.5196082983960233,1.360317459172095,batch,bj_00
YH+v47Ozt31VYC5f0veQiXmhGGpYKe+7PC0MriPP5qjNet7tFvCJfi4FMoYg/ASU,1,23,23,Delay-insensitive,2,74.4346487146739,1.488692974293478,1.488692974293478,1.9721735486523797,1.9817363614565728,batch,bj_01
hyAJgs/tHBuzxp5W9lkAsAhdk1+pguALr3msoDDw68T0oeBZYcneYVoBoU0W8X6g,24,0,23,Delay-insensitive,2,66.55529684168091,1.3311059368336184,1.6818819104936622,1.974258246958999,2.175446472233412,batch,bj_02
z8no2RQyY5m5SWAw8eLxhzYKwg+FUe02/C2ouwQJtSQMBonZWsP/9BJ/Q8OCAN/j,24,0,23,Delay-insensitive,2,48.79960746213316,0.975992149242663,1.440190942510668,1.967190683964512,1.931988613501796,batch,bj_03
Bnry0PmCFHxuv+YDfqsslyGNPmUdKYym6L+fLvC8SzOTAF+xcTold7kM5cqnkOHa,2,10,11,Delay-insensitive,4,33.91579984496366,1.3566319937985463,1.801669045118631,3.0881690291192534,2.5737113023984444,batch,bj_04
8HzRxww2UIEne+7cO5ZolxN5qpqz/bUjPi6u1bVBC9+SrBnR06eGfGadABUw2wA6,24,0,23,Interactive,2,84.32600781602547,1.6865201563205092,1.93664744251544,1.987019604284282,2.4334023435865104,on_demand,od_00
DVEJtSojam7xgSeNpjeVTiPJuigVrnsoATuX1hxJfbgUdhyoGu9f0aaKQyT2PPDM,24,0,23,Interactive,2,26.517277605374286,0.5303455521074857,0.6027356464823233,1.437895977138536,0.9622096407669573,on_demand,od_01
T0FfcE5yBiKiSLxE2sVX/7LVprCd31XuVIBKt6+uDxfxFQHAZQq6xfFB4naTQt/q,24,0,23,Interactive,2,23.904351579932865,0.47808703159865723,0.6774980177101999,1.4503402642166126,1.040083083764353,on_demand,od_02
Xhy1uJtdWY9Xoq8w/KL6lSGW02p6QmBknoKhSNhiJeiidCKhBOZV9Mor6vflzYth,24,0,23,Interactive,2,20.30753538368732,0.40615070767374634,0.5135989764680012,1.0846578089055656,0.7847634286943926,on_demand,od_03
c2i8/jHEDMaQj+XqFWSGTwQfwlmmgtWu9OzQtAV11zVVMqIFlu9ays/H9IFQqRRl,24,0,23,Interactive,2,44.7924985451778,0.8958499709035559,1.1179583522960366,1.9076958832310107,1.5948823231037892,on_demand,od_04
ymawhKtmtseBfsXjWj50w7RX8zof2WSCjja0IkbZhWyxccEcwM93pPyvA70+nH/K,24,0,23,Delay-insensitive,2,24.499649623515268,0.4899929924703053,1.8663315044778492,1.9290200323625288,2.3485865125684815,spot,sp_00
CRwl7ZiqtPx18z3SakzMJq1HG5FcO3AT6MKHv/KiV8YwLFLlIszdAt4MAB+rnHOX,24,0,23,Delay-insensitive,8,20.70046214185884,1.6560369713487073,2.0878161979670686,6.473897741899297,3.706290633441893,spot,sp_01
2aseSm3d5hIYPReJ1faWnOnngds5HumcV7khKcLHvXNox1GNgiyIXzl8+1OvRgA4,24,0,23,Delay-insensitive,2,22.267737987881716,0.44535475975763433,1.8452763165455075,1.9466867405909567,2.3319480016932466,spot,sp_02
c+V1miiXAjC39gJPKi8VLgWTMB1GnHrD9zP63NK6jpnvTEgHwYtSow5IioMGbup0,24,0,23,Delay-insensitive,2,31.989661273163037,0.6397932254632608,0.8588284148284872,1.5525522891173291,1.2469664871078194,spot,sp_03
uRgzAuFYJ/5hLIHqkK9w8KBKHpTMJhuS8VLxO+ymTRgS1sWcZpOEbn2Sy69cj3sp,24,0,23,Delay-insensitive,4,23.472061787043838,0.9388824714817535,1.2957330305916654,3.786132730890348,2.2422662133142524,spot,sp_04
0SAPExXBVNm1n/LJERowbfs02+Z92dXJxelghgeqE2EXNBHqYQbeKNCIWnzXN+CG,24,0,23,Delay-insensitive,2,31.42857056954549,0.6285714113909098,0.8964159471392175,1.933798309454624,1.3798655245028735,spot,sp_05
DHOkG1LZSpU6TzoutoSEDGpZobdiyeLcobigr2nkdP0docLcAF2bJMjIFmKJPyrj,24,0,23,Delay-insensitive,4,95.79444014048067,3.831777605619227,3.887594790238084,3.9345030364981057,4.871220549362611,spot,sp_06
M9deJ/wJNH8TMtNBRdbMY1QKlogtqKpLKKXMyeB1r77Hya+By9li0PY2f1LgLC54,24,0,23,Delay-insensitive,2,26.590493060170207,0.5318098612034042,0.561602522332765,1.793431263798088,1.009960338282287,spot,sp_07
EnIoxOJLTIuoH0MSUs5c53S9LBzh8PNh3Pzs75H8uRbv66uOoIYecu7LrBOxQC7g,24,0,23,Delay-insensitive,4,71.65428535426996,2.866171414170798,3.947062167557856,3.975357569543844,4.940901559943817,spot,sp_08
LmTtaRum58xkHeASEYnXvZeSUitH04j5lrS/bvTmWxnAXwMvTRAgSTcD9CsyAk25,24,0,23,Delay-insensitive,4,74.30666513730934,2.972266605492374,3.2685707084332085,3.969185234998634,4.260867017182867,spot,sp_09
X2tRyioCFtD4fYCURz9g1yDcz5TiXI9e5dWdFawUwcTHSQiYIqhqvm3ICa2dOJXx,24,0,23,Delay-insensitive,2,79.70717583217234,1.5941435166434468,1.8816002750795724,1.9778294918532973,2.3760576480428965,spot,sp_10
kJ+d/Q0CPUqfPTe3cO8YkLjREYVpHXX8H5KxlY6dgdVz+WlK4KvcRpezlw8AcpQW,24,0,23,Delay-insensitive,2,23.623368490089494,0.4724673698017899,0.586079279580406,1.091302765217261,0.8589049708847212,spot,sp_11
CAH1SuMH7zOLHIIow6OBLnVZ0b7RrbjSRmciEiqp7Dg8xDZDsRta3Lyaw3RfbZ5s,24,0,23,Delay-insensitive,4,28.0660368974597,1.1226414758983883,2.4469398517010794,3.813516547484944,3.4003189885723155,spot,sp_12
/kHxI/cTHpjkUx/A2Iw700amzQwtf+/n5lWkizhV1TDdTfAHbVwfwPlNwOBdFDjh,24,0,23,Delay-insensitive,2,33.45335147447336,0.6690670294894673,0.6931237846354257,1.956970721424603,1.1823664649915764,spot,sp_13
