vm_id,class,selection_rank_within_class,selection_method,selection_score_name,selection_score_value,eligible_rank_within_class,eligible_candidate_count,eligibility_rule,reference_selection_rank_within_class,reference_eligible_rank_within_class,reference_selection_score_avg_cpu_plus_mem,q_cpu,q_mem,coverage_weighted_avg_cpu_usage,coverage_weighted_avg_mem_usage,observed_coverage_us,observed_5min_rows,arrival_t5,departure_t5,lifetime_t5,resource_transform
ep_d82c51c9583f3cf5c0c7,on_demand,1,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.41919959121303096,1,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.8927392739273927,0.5988286969253295,0.41919959121303096,0.45593488953619415,76824051607,257,0,259,259,none; exact canonical values copied
ep_463ac0f209f3b54035ba,on_demand,2,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.3131021598253575,2,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.7227722772277227,0.472913616398243,0.3131021598253575,0.34536600679193097,86400000000,288,0,288,288,none; exact canonical values copied
ep_4dbe04be0377398e4794,on_demand,3,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.29508600886483966,3,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.3444719471947194,0.0244784040995607,0.29508600886483966,0.014776947732579907,67077594412,224,0,224,224,none; exact canonical values copied
ep_d31caf8fd9a3714da1a2,on_demand,4,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.14149860261347982,4,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.2636138613861386,0.1171303074670571,0.14149860261347982,0.08539782989708561,3379456166,12,276,288,12,none; exact canonical values copied
ep_c6c08698565259ae4a2e,on_demand,5,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.12197720423083971,5,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.2231848184818481,0.0530746705710102,0.12197720423083971,0.03072208114730758,86400000000,288,0,288,288,none; exact canonical values copied
ep_7c70f7c28f519324b5b1,on_demand,6,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.11604262639805643,6,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.1821369636963696,0.0530746705710102,0.11604262639805643,0.025615741164389087,86400000000,288,0,288,288,none; exact canonical values copied
ep_a2ec8b2ddffdb812576c,on_demand,7,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.11220236379533144,7,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.1478960396039604,0.1756954612005856,0.11220236379533144,0.05688052561452914,4122000000,14,274,288,14,none; exact canonical values copied
ep_3953918cd0abe3e863ee,on_demand,8,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.10921134431151445,8,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.2007013201320132,0.1248169838945827,0.10921134431151445,0.10272287294615254,86400000000,288,0,288,288,none; exact canonical values copied
ep_5b110457b2232a6309e0,on_demand,9,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.10854904346366835,9,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.2145214521452145,0.1248169838945827,0.10854904346366835,0.10273407449686076,53100000000,177,0,178,178,none; exact canonical values copied
ep_42a270de655b077d2e9c,on_demand,10,top coverage-weighted scenario-0 mean CPU among eligible on-demand,coverage_weighted_avg_cpu_usage,0.10829207920792074,10,1723,at least one observed 5-minute row in every active 30-minute slot,,,,0.226072607260726,0.1248169838945827,0.10829207920792074,0.10187642345859764,86400000000,288,0,288,288,none; exact canonical values copied
