vm_id,class,selection_rank_within_class,source_q_cpu,source_q_mem,target_q_cpu,target_q_mem,stress_batch_group,source_avg_cpu_usage,source_avg_mem_usage,selection_score_avg_cpu_plus_mem,observed_coverage_us,cpu_transform,mem_transform
ep_d82c51c9583f3cf5c0c7,on_demand,1,0.8927392739273927,0.5988286969253295,0.49,0.49,,0.41919959121303096,0.45593488953619415,0.8751344807492252,76824051607,target_q * (source_usage / source_q),target_q * (source_usage / source_q) ** 0.2
ep_463ac0f209f3b54035ba,on_demand,2,0.7227722772277227,0.472913616398243,0.49,0.49,,0.3131021598253575,0.34536600679193097,0.6584681666172885,86400000000,target_q * (source_usage / source_q),target_q * (source_usage / source_q) ** 0.2
ep_0156f659a4c08159e143,on_demand,3,0.120049504950495,0.5073206442166911,0.49,0.49,,0.05295216061319669,0.40408430941922885,0.45703647003242553,86400000000,target_q * (source_usage / source_q),target_q * (source_usage / source_q) ** 0.2
ep_4ed50e93055d88a76c7b,on_demand,4,0.1097359735973597,0.363103953147877,0.49,0.49,,0.0002899169921874531,0.3356515373352855,0.33594145432747297,86400000000,target_q * (source_usage / source_q),target_q * (source_usage / source_q) ** 0.2
ep_4dbe04be0377398e4794,on_demand,5,0.3444719471947194,0.0244784040995607,0.49,0.49,,0.29508600886483966,0.014776947732579907,0.3098629565974196,67077594412,target_q * (source_usage / source_q),target_q * (source_usage / source_q) ** 0.2
ep_d31caf8fd9a3714da1a2,on_demand,6,0.2636138613861386,0.1171303074670571,0.49,0.49,,0.14149860261347982,0.08539782989708561,0.22689643251056543,3379456166,target_q * (source_usage / source_q),target_q * (source_usage / source_q) ** 0.2
ep_3daf7e97dc93d55b2e2c,on_demand,7,0.1443894389438944,0.1874084919472913,0.49,0.49,,0.06483092970755404,0.15004492791198956,0.2148758576195436,86400000000,target_q * (source_usage / source_q),target_q * (source_usage / source_q) ** 0.2
ep_fd3bb4c10d4dce886ea6,on_demand,8,0.1998762376237624,0.5190336749633968,0.49,0.49,,0.0021528097837452535,0.2109954868736782,0.21314829665742344,86400000000,target_q * (source_usage / source_q),target_q * (source_usage / source_q) ** 0.2
ep_3953918cd0abe3e863ee,on_demand,9,0.2007013201320132,0.1248169838945827,0.49,0.49,,0.10921134431151445,0.10272287294615254,0.21193421725766698,86400000000,target_q * (source_usage / source_q),target_q * (source_usage / source_q) ** 0.2
ep_5b110457b2232a6309e0,on_demand,10,0.2145214521452145,0.1248169838945827,0.49,0.49,,0.10854904346366835,0.10273407449686076,0.21128311796052912,53100000000,target_q * (source_usage / source_q),target_q * (source_usage / source_q) ** 0.2
ep_4eba5106e437fa81d3cb,spot,1,0.4203795379537954,0.0345442898975109,0.49,0.49,,0.28839960263848524,0.021962637419721855,0.3103622400582071,4579593492,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
ep_0b88be7a95f9bb2c39ba,spot,2,0.4063531353135313,0.0345442898975109,0.49,0.49,,0.2855531635590013,0.02202047845230971,0.307573642011311,5539929218,target_q * (source_usage / source_q),target_q * (source_usage / source_q)
