vm_id,stable_episode_key,collection_id,instance_index,episode_index,episode_start_time_us,episode_end_time_us,termination_time_us,termination_reason,horizon_censored,termination_time_uncertain,episode_start_inferred_from_update,episode_start_inferred_from_usage,class,class_rule,scheduler,arrival_t5,departure_t5,lifetime_t5,arrival_time_us,q_cpu,q_mem,resource_request_cpu,resource_request_mem,p95_cpu_usage,p95_mem_usage,avg_cpu_usage,avg_mem_usage,max_cpu_usage,max_mem_usage,priority,scheduling_class,arrival_machine_id,arrival_state_ambiguous,arrival_state_ambiguity_reason,arrival_state_candidate_count,scheduler_state_ambiguous,scheduler_state_ambiguity_reason,scheduler_state_candidate_count,arrival_state_used_post_arrival,scheduler_state_used_post_arrival,resource_request_cpu_fallback_zero,resource_request_mem_fallback_zero,max_cpu_usage_fallback_from_average,max_mem_usage_fallback_from_average,cpu_p100_gt_one,spot_revenue,migration_energy_coeff,observed_coverage_us,source_avg_cpu_usage,source_avg_mem_usage,selection_score_avg_cpu_plus_mem,selection_rank_within_class
ep_4a2d3385ab17f656ba11,collection=2:290470317978|instance=2:35|episode=0,290470317978,35,0,600000000,87000000000,,HORIZON_CENSORED,True,False,False,False,batch_candidate,batch_candidate: proxy label because collection scheduler == SCHEDULER_BATCH; not an observed cloud purchase class,SCHEDULER_BATCH,0,288,288,600000000,0.49,0.49,0.15075096899224796,0.49,0.20036821705426358,0.40054276315789455,0.1577741440568475,0.353421566611842,0.49,0.47791118421052636,105.0,2,4459433739.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0,86400000000,0.13708402090209018,0.16051656295754022,0.2976005838596304,1
ep_ccfb8a0f25631004759a,collection=2:375378943575|instance=2:3042|episode=0,375378943575,3042,0,65178616135,68481731723,68481731723.0,KILL,False,False,False,False,batch_candidate,batch_candidate: proxy label because collection scheduler == SCHEDULER_BATCH; not an observed cloud purchase class,SCHEDULER_BATCH,215,227,12,65178616135,0.49,0.49,0.003985753676470493,0.010572916666666224,0.41265686274509805,0.4164492753623191,0.1566428058123983,0.1615596730377118,0.49,0.49,107.0,1,23749187178.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0,3131731723,0.13451847336890135,0.02914562183539559,0.16366409520429695,2
ep_d57d7f4656422c641ee5,collection=2:375378943575|instance=2:2742|episode=0,375378943575,2742,0,65178615763,68481731652,68481731652.0,KILL,False,False,False,False,batch_candidate,batch_candidate: proxy label because collection scheduler == SCHEDULER_BATCH; not an observed cloud purchase class,SCHEDULER_BATCH,215,227,12,65178615763,0.49,0.49,0.00393178795938095,0.008729433760683396,0.4198646034816247,0.43890598290598326,0.14298717072376618,0.1500514750007019,0.49,0.49,107.0,1,23860209886.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0,3274731652,0.12447694359834835,0.032786070186829774,0.15726301378517812,3
ep_5d6a776897346bfa7605,collection=2:374943256061|instance=2:85|episode=0,374943256061,85,0,7765593349,13848174114,13848174114.0,KILL,False,False,False,False,batch_candidate,batch_candidate: proxy label because collection scheduler == SCHEDULER_BATCH; not an observed cloud purchase class,SCHEDULER_BATCH,23,45,22,7765593349,0.49,0.49,0.0613392857142857,0.49,0.1546428571428571,0.16770593080724872,0.03507407523757397,0.15234279963458688,0.49,0.17133855024711692,105.0,1,102893244766.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0,6080174114,0.010128652090058489,0.1381541210419133,0.14828277313197177,4
ep_ef41f9e986fe26e2d03b,collection=2:374973984547|instance=2:53|episode=0,374973984547,53,0,7378628004,17512943777,17512943777.0,KILL,False,False,False,False,batch_candidate,batch_candidate: proxy label because collection scheduler == SCHEDULER_BATCH; not an observed cloud purchase class,SCHEDULER_BATCH,22,57,35,7378628004,0.48,0.48,0.05881019830028299,0.48,0.043470254957506824,0.17100494233937388,0.017068153989714757,0.15426687242892678,0.48,0.17377265238879733,105.0,1,102893244763.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0,10132943777,0.00517830235695932,0.14281355472846294,0.14799185708542226,5
ep_0c2e9f159438610d2d11,collection=2:374943256061|instance=2:165|episode=0,374943256061,165,0,7874037589,13848174322,13848174322.0,KILL,False,False,False,False,batch_candidate,batch_candidate: proxy label because collection scheduler == SCHEDULER_BATCH; not an observed cloud purchase class,SCHEDULER_BATCH,24,45,21,7874037589,0.48,0.48,0.06161434977578474,0.48,0.2995515695067262,0.160329489291598,0.025793005794585155,0.14155511501421858,0.48,0.16171334431630965,105.0,1,24289989731.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0,5971174322,0.007415223148969279,0.1310455631003396,0.13846078624930888,6
ep_82cbe00827435fff0953,collection=2:375745728458|instance=2:496|episode=0,375745728458,496,0,79977839882,87000000000,,HORIZON_CENSORED,True,False,False,False,batch_candidate,batch_candidate: proxy label because collection scheduler == SCHEDULER_BATCH; not an observed cloud purchase class,SCHEDULER_BATCH,264,288,24,79977839882,0.48,0.48,0.12470246734397672,0.48,0.29468795355587796,0.37089343379978457,0.27267188578294177,0.3171472126451241,0.48,0.39268030139935395,103.0,1,105214127775.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0,7016000000,0.0807338633218367,0.056168740953536814,0.1369026042753735,7
ep_1563b2ca313c71a7361b,collection=2:280881358282|instance=2:1169|episode=2,280881358282,1169,2,26960166638,49185399063,49185399063.0,EVICT,False,False,False,False,batch_candidate,batch_candidate: proxy label because collection scheduler == SCHEDULER_BATCH; not an observed cloud purchase class,SCHEDULER_BATCH,87,162,75,26960166638,0.47,0.47,0.21212389380530963,0.47,0.3415818584070797,0.16308189655172367,0.29676308552747427,0.14184035105504667,0.47,0.18556896551724078,103.0,3,1375590690.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0,22216399063,0.11773832127169644,0.01601729767217669,0.1337556189438731,8
ep_bd249b80fea7ccf4e254,collection=2:374973984547|instance=2:164|episode=0,374973984547,164,0,7513544551,11902011771,11902011771.0,KILL,False,False,False,False,batch_candidate,batch_candidate: proxy label because collection scheduler == SCHEDULER_BATCH; not an observed cloud purchase class,SCHEDULER_BATCH,23,38,15,7513544551,0.47,0.47,0.059263848396501145,0.47,0.3761370262390669,0.14150329489291588,0.02949483587309716,0.12898149115492477,0.47,0.14576194398682035,105.0,1,53768440403.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0,4385011771,0.00887993180295654,0.1219459909832082,0.13082592278616473,9
ep_a0722f22616aabf4ec6d,collection=2:375047391824|instance=2:3598|episode=0,375047391824,3598,0,18331595691,27131292697,27131292697.0,KILL,False,False,False,False,batch_candidate,batch_candidate: proxy label because collection scheduler == SCHEDULER_BATCH; not an observed cloud purchase class,SCHEDULER_BATCH,59,89,30,18331595691,0.47,0.47,0.1943513513513511,0.2698890784982936,0.2991486486486485,0.46518771331058045,0.2301040734544884,0.3256537253079677,0.47,0.47,107.0,1,373578848224.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0,8796292697,0.05604757424304867,0.07430963327874092,0.1303572075217896,10
