vm_id,class,selection_rank_within_class,eligible_rank_within_class,eligible_candidate_count,eligibility_rule,q_cpu,q_mem,selection_score_avg_cpu_plus_mem,coverage_weighted_avg_cpu_usage,coverage_weighted_avg_mem_usage,observed_coverage_us,observed_5min_rows,arrival_t5,departure_t5,lifetime_t5,resource_transform
ep_4a2d3385ab17f656ba11,batch_candidate,1,1,2820,at least one positive-coverage scenario-0 row,0.4257425742574257,0.2225475841874085,0.2976005838596304,0.13708402090209018,0.16051656295754022,86400000000,288,0,288,288,none; exact canonical values copied
ep_ccfb8a0f25631004759a,batch_candidate,2,2,2820,at least one positive-coverage scenario-0 row,0.4207920792079208,0.0883967789165446,0.16366409520429695,0.13451847336890135,0.02914562183539559,3131731723,12,215,227,12,none; exact canonical values copied
ep_d57d7f4656422c641ee5,batch_candidate,3,3,2820,at least one positive-coverage scenario-0 row,0.4265676567656766,0.1070644216691068,0.15726301378517812,0.12447694359834835,0.032786070186829774,3274731652,12,215,227,12,none; exact canonical values copied
ep_5d6a776897346bfa7605,batch_candidate,4,4,2820,at least one positive-coverage scenario-0 row,0.1415016501650165,0.4443631039531479,0.14828277313197177,0.010128652090058489,0.1381541210419133,6080174114,22,23,45,22,none; exact canonical values copied
ep_ef41f9e986fe26e2d03b,batch_candidate,5,5,2820,at least one positive-coverage scenario-0 row,0.1456270627062706,0.4443631039531479,0.14799185708542226,0.00517830235695932,0.14281355472846294,10132943777,35,22,57,35,none; exact canonical values copied
ep_0c2e9f159438610d2d11,batch_candidate,6,6,2820,at least one positive-coverage scenario-0 row,0.1379950495049505,0.4443631039531479,0.13846078624930888,0.007415223148969279,0.1310455631003396,5971174322,21,24,45,21,none; exact canonical values copied
ep_82cbe00827435fff0953,batch_candidate,7,7,2820,at least one positive-coverage scenario-0 row,0.1421204620462046,0.085010980966325,0.1369026042753735,0.0807338633218367,0.056168740953536814,7016000000,24,264,288,24,none; exact canonical values copied
ep_1563b2ca313c71a7361b,batch_candidate,8,8,2820,at least one positive-coverage scenario-0 row,0.1864686468646864,0.0530746705710102,0.1337556189438731,0.11773832127169644,0.01601729767217669,22216399063,75,87,162,75,none; exact canonical values copied
ep_bd249b80fea7ccf4e254,batch_candidate,9,9,2820,at least one positive-coverage scenario-0 row,0.1415016501650165,0.4443631039531479,0.13082592278616473,0.00887993180295654,0.1219459909832082,4385011771,15,23,38,15,none; exact canonical values copied
ep_a0722f22616aabf4ec6d,batch_candidate,10,10,2820,at least one positive-coverage scenario-0 row,0.1144801980198019,0.1072474377745241,0.1303572075217896,0.05604757424304867,0.07430963327874092,8796292697,30,59,89,30,none; exact canonical values copied
ep_d82c51c9583f3cf5c0c7,on_demand,1,1,1723,at least one observed 5-minute row in every active 30-minute slot,0.8927392739273927,0.5988286969253295,0.8751344807492252,0.41919959121303096,0.45593488953619415,76824051607,257,0,259,259,none; exact canonical values copied
ep_463ac0f209f3b54035ba,on_demand,2,2,1723,at least one observed 5-minute row in every active 30-minute slot,0.7227722772277227,0.472913616398243,0.6584681666172885,0.3131021598253575,0.34536600679193097,86400000000,288,0,288,288,none; exact canonical values copied
ep_0156f659a4c08159e143,on_demand,3,3,1723,at least one observed 5-minute row in every active 30-minute slot,0.120049504950495,0.5073206442166911,0.45703647003242553,0.05295216061319669,0.40408430941922885,86400000000,288,0,288,288,none; exact canonical values copied
ep_4ed50e93055d88a76c7b,on_demand,4,4,1723,at least one observed 5-minute row in every active 30-minute slot,0.1097359735973597,0.363103953147877,0.33594145432747297,0.0002899169921874531,0.3356515373352855,86400000000,288,0,288,288,none; exact canonical values copied
ep_4dbe04be0377398e4794,on_demand,5,5,1723,at least one observed 5-minute row in every active 30-minute slot,0.3444719471947194,0.0244784040995607,0.3098629565974196,0.29508600886483966,0.014776947732579907,67077594412,224,0,224,224,none; exact canonical values copied
ep_d31caf8fd9a3714da1a2,on_demand,6,6,1723,at least one observed 5-minute row in every active 30-minute slot,0.2636138613861386,0.1171303074670571,0.22689643251056543,0.14149860261347982,0.08539782989708561,3379456166,12,276,288,12,none; exact canonical values copied
ep_3daf7e97dc93d55b2e2c,on_demand,7,7,1723,at least one observed 5-minute row in every active 30-minute slot,0.1443894389438944,0.1874084919472913,0.2148758576195436,0.06483092970755404,0.15004492791198956,86400000000,288,0,288,288,none; exact canonical values copied
