vm_id,stable_episode_key,collection_id,instance_index,episode_index,episode_start_time_us,episode_end_time_us,termination_time_us,termination_reason,horizon_censored,termination_time_uncertain,episode_start_inferred_from_update,episode_start_inferred_from_usage,class,class_rule,scheduler,arrival_t5,departure_t5,lifetime_t5,arrival_time_us,q_cpu,q_mem,resource_request_cpu,resource_request_mem,p95_cpu_usage,p95_mem_usage,avg_cpu_usage,avg_mem_usage,max_cpu_usage,max_mem_usage,priority,scheduling_class,arrival_machine_id,arrival_state_ambiguous,arrival_state_ambiguity_reason,arrival_state_candidate_count,scheduler_state_ambiguous,scheduler_state_ambiguity_reason,scheduler_state_candidate_count,arrival_state_used_post_arrival,scheduler_state_used_post_arrival,resource_request_cpu_fallback_zero,resource_request_mem_fallback_zero,max_cpu_usage_fallback_from_average,max_mem_usage_fallback_from_average,cpu_p100_gt_one,spot_revenue,migration_energy_coeff
ep_d82c51c9583f3cf5c0c7,collection=2:220585668772|instance=2:32|episode=0,220585668772,32,0,600000000,78067051607,78067051607.0,LOST,False,True,False,False,on_demand,on_demand: proxy label for priority >= 120 production-tier Google 2019 workload; not an observed cloud purchase class,SCHEDULER_DEFAULT,0,259,259,600000000,0.8927392739273927,0.5988286969253295,0.4801980198019802,0.5988286969253295,0.5066006600660066,0.5294289897510981,0.4177039703985598,0.4543043233816248,0.8927392739273927,0.5937042459736457,200.0,2,249752968639.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0119215362239005
ep_463ac0f209f3b54035ba,collection=2:80623389268|instance=2:30|episode=0,80623389268,30,0,600000000,87000000000,,HORIZON_CENSORED,True,False,False,False,on_demand,on_demand: proxy label for priority >= 120 production-tier Google 2019 workload; not an observed cloud purchase class,SCHEDULER_DEFAULT,0,288,288,600000000,0.7227722772277227,0.472913616398243,0.4744224422442244,0.472913616398243,0.4710808580858085,0.419216691068814,0.3131021598253575,0.345366006791931,0.7227722772277227,0.4604685212298682,200.0,3,53770403292.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0095922908542684
ep_0156f659a4c08159e143,collection=2:360229361439|instance=2:0|episode=0,360229361439,0,0,600000000,87000000000,,HORIZON_CENSORED,True,False,False,False,on_demand,on_demand: proxy label for priority >= 120 production-tier Google 2019 workload; not an observed cloud purchase class,SCHEDULER_DEFAULT,0,288,288,600000000,0.120049504950495,0.5073206442166911,0.0917904290429042,0.5073206442166911,0.0601278877887788,0.4048316251830161,0.0529521606131967,0.4040843094192288,0.120049504950495,0.4062957540263543,360.0,2,74471794818.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0037370982705884
ep_4ed50e93055d88a76c7b,collection=2:277141849449|instance=2:13|episode=0,277141849449,13,0,600000000,87000000000,,HORIZON_CENSORED,True,False,False,False,on_demand,on_demand: proxy label for priority >= 120 production-tier Google 2019 workload; not an observed cloud purchase class,SCHEDULER_DEFAULT,0,288,288,600000000,0.1097359735973597,0.363103953147877,0.1097359735973597,0.363103953147877,0.0003077944513201,0.3356515373352855,0.0002899169921875,0.3356515373352855,0.0019015573432343,0.33601756954612,200.0,3,92160261499.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0029128795017129
ep_4dbe04be0377398e4794,collection=2:374562803274|instance=2:18|episode=0,374562803274,18,0,600000000,67677594412,67677594412.0,KILL,False,False,False,False,on_demand,on_demand: proxy label for priority >= 120 production-tier Google 2019 workload; not an observed cloud purchase class,SCHEDULER_DEFAULT,0,224,224,600000000,0.3444719471947194,0.0244784040995607,0.3407590759075907,0.0244784040995607,0.3114686468646864,0.0150073206442166,0.2946710517389528,0.0147715298811545,0.3444719471947194,0.0164714494875549,200.0,2,20737083.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0035671114924449
ep_d31caf8fd9a3714da1a2,collection=2:371805942158|instance=2:3|episode=4,371805942158,3,4,83620543834,87000000000,,HORIZON_CENSORED,True,False,False,False,on_demand,on_demand: proxy label for priority >= 120 production-tier Google 2019 workload; not an observed cloud purchase class,SCHEDULER_DEFAULT,276,288,12,83620543834,0.2636138613861386,0.1171303074670571,0.2438118811881188,0.1171303074670571,0.1621905940594059,0.0984718155197657,0.1403457715207172,0.0817890215798922,0.2636138613861386,0.1056002928257686,200.0,3,105126709465.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0032217901511966
ep_3daf7e97dc93d55b2e2c,collection=2:106703453482|instance=2:376|episode=0,106703453482,376,0,600000000,87000000000,,HORIZON_CENSORED,True,False,False,False,on_demand,on_demand: proxy label for priority >= 120 production-tier Google 2019 workload; not an observed cloud purchase class,SCHEDULER_DEFAULT,0,288,288,600000000,0.1443894389438944,0.1874084919472913,0.1190181518151815,0.1874084919472913,0.1095090759075906,0.1535505124450951,0.0648309297075541,0.1500449279119896,0.1443894389438944,0.1573938506588579,200.0,2,1579547980.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0023809368491754
ep_fd3bb4c10d4dce886ea6,collection=2:208627890421|instance=2:49|episode=0,208627890421,49,0,600000000,87000000000,,HORIZON_CENSORED,True,False,False,False,on_demand,on_demand: proxy label for priority >= 120 production-tier Google 2019 workload; not an observed cloud purchase class,SCHEDULER_DEFAULT,0,288,288,600000000,0.1998762376237624,0.5190336749633968,0.1998762376237624,0.5190336749633968,0.0021239428630363,0.2287701317715959,0.0021528097837453,0.2109954868736782,0.0271245874587458,0.229502196193265,200.0,3,71970852930.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.0045939307510546
ep_3953918cd0abe3e863ee,collection=2:1632087718|instance=2:323|episode=0,1632087718,323,0,600000000,87000000000,,HORIZON_CENSORED,True,False,False,False,on_demand,on_demand: proxy label for priority >= 120 production-tier Google 2019 workload; not an observed cloud purchase class,SCHEDULER_DEFAULT,0,288,288,600000000,0.2007013201320132,0.1248169838945827,0.1786303630363036,0.1248169838945827,0.1232054455445544,0.103221083455344,0.1092113443115144,0.1027228729461526,0.2007013201320132,0.1039531478770131,200.0,3,348128035855.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.002631098120793
ep_5b110457b2232a6309e0,collection=2:1632087718|instance=2:477|episode=0,1632087718,477,0,600000000,53913011311,53913011311.0,EVICT,False,False,False,False,on_demand,on_demand: proxy label for priority >= 120 production-tier Google 2019 workload; not an observed cloud purchase class,SCHEDULER_DEFAULT,0,178,178,600000000,0.2145214521452145,0.1248169838945827,0.1786303630363036,0.1248169838945827,0.128506600660066,0.103221083455344,0.1085490434636684,0.1027340744968608,0.2145214521452145,0.1043191800878477,200.0,3,104800886835.0,False,,0,False,,0,False,False,False,False,False,False,False,0.0,0.002769299440925
