batch_job_id,parent_workload_id,source_time,server,time
bj_00_t00,bj_00,0,4,23
bj_00_t01,bj_00,1,4,17
bj_00_t02,bj_00,2,4,12
bj_00_t03,bj_00,3,4,18
bj_00_t04,bj_00,4,4,13
bj_00_t05,bj_00,5,4,0
bj_00_t06,bj_00,6,4,3
bj_00_t07,bj_00,7,4,14
bj_00_t08,bj_00,8,3,23
bj_00_t09,bj_00,9,3,23
bj_00_t10,bj_00,10,3,22
bj_00_t11,bj_00,11,3,22
bj_00_t12,bj_00,12,3,22
bj_00_t13,bj_00,13,3,22
bj_00_t14,bj_00,14,3,22
bj_00_t15,bj_00,15,4,17
bj_00_t16,bj_00,16,4,0
bj_00_t17,bj_00,17,4,16
bj_00_t18,bj_00,18,3,22
bj_00_t19,bj_00,19,4,21
bj_00_t20,bj_00,20,4,11
bj_00_t21,bj_00,21,3,22
bj_00_t22,bj_00,22,3,21
bj_00_t23,bj_00,23,3,21
bj_01_t00,bj_01,0,3,21
bj_01_t01,bj_01,1,3,21
bj_01_t02,bj_01,2,3,21
bj_01_t03,bj_01,3,3,21
bj_01_t04,bj_01,4,3,20
bj_01_t05,bj_01,5,3,20
bj_01_t06,bj_01,6,3,20
bj_01_t07,bj_01,7,3,18
bj_01_t08,bj_01,8,3,20
bj_01_t09,bj_01,9,3,17
bj_01_t10,bj_01,10,3,15
bj_01_t11,bj_01,11,3,15
bj_01_t12,bj_01,12,3,14
bj_01_t13,bj_01,13,3,13
bj_01_t14,bj_01,14,3,12
bj_01_t15,bj_01,15,3,10
bj_01_t16,bj_01,16,3,11
bj_01_t17,bj_01,17,3,9
bj_01_t18,bj_01,18,3,15
bj_01_t19,bj_01,19,3,9
bj_01_t20,bj_01,20,3,9
bj_01_t21,bj_01,21,3,8
bj_01_t22,bj_01,22,3,8
bj_01_t23,bj_01,23,3,7
bj_02_t00,bj_02,0,3,7
bj_02_t01,bj_02,1,3,6
bj_02_t02,bj_02,2,3,5
bj_02_t03,bj_02,3,3,3
bj_02_t04,bj_02,4,3,4
bj_02_t05,bj_02,5,3,2
bj_02_t06,bj_02,6,3,1
bj_02_t07,bj_02,7,3,1
bj_02_t08,bj_02,8,3,0
bj_02_t09,bj_02,9,2,23
bj_02_t10,bj_02,10,2,23
bj_02_t11,bj_02,11,2,23
bj_02_t12,bj_02,12,2,23
bj_02_t13,bj_02,13,2,22
bj_02_t14,bj_02,14,2,22
bj_02_t15,bj_02,15,2,22
