server,time,scenario,load,committed_load,gamma,phi,u,realized_utilization,overbooking_ratio
0,0,scen_01,6.459638539518684,6.459638539518684,0,0,1,0.8074548174398355,0.8074548174398355
0,1,scen_01,6.951215679166603,6.951215679166603,0,0,1,0.8689019598958254,0.8689019598958254
0,2,scen_01,4.881090557490049,4.881090557490049,0,0,1,0.6101363196862561,0.6101363196862561
0,3,scen_01,6.254101670369842,6.254101670369842,0,0,1,0.7817627087962302,0.7817627087962302
0,4,scen_01,5.152471688352445,5.152471688352445,0,0,1,0.6440589610440556,0.6440589610440556
0,5,scen_01,5.974647276713136,5.974647276713136,0,0,1,0.746830909589142,0.746830909589142
0,6,scen_01,3.7359806028241778,3.7359806028241778,0,0,1,0.4669975753530222,0.4669975753530222
0,7,scen_01,6.806190390609136,6.806190390609137,0,0,1,0.850773798826142,0.8507737988261421
0,8,scen_01,6.414034606186784,6.414034606186784,0,0,1,0.801754325773348,0.801754325773348
0,9,scen_01,5.160250842848367,5.160250842848367,0,0,1,0.6450313553560458,0.6450313553560458
0,10,scen_01,6.029962757264253,6.029962757264253,0,0,1,0.7537453446580317,0.7537453446580317
0,11,scen_01,5.156030294165417,5.156030294165417,0,0,1,0.6445037867706771,0.6445037867706771
0,12,scen_01,5.615358157913839,5.615358157913839,0,0,1,0.7019197697392299,0.7019197697392299
0,13,scen_01,6.667413666812483,6.667413666812484,0,0,1,0.8334267083515604,0.8334267083515605
0,14,scen_01,5.106790770385408,5.106790770385408,0,0,1,0.638348846298176,0.638348846298176
0,15,scen_01,7.166320942086422,7.166320942086423,0,0,1,0.8957901177608028,0.8957901177608029
0,16,scen_01,6.87050174966521,6.87050174966521,0,0,1,0.8588127187081512,0.8588127187081512
0,17,scen_01,5.651851919368694,5.651851919368692,0,0,1,0.7064814899210867,0.7064814899210865
0,18,scen_01,7.9688896567747625,7.968889656774762,0,0,1,0.9961112070968453,0.9961112070968452
0,19,scen_01,6.20682554737302,6.20682554737302,0,0,1,0.7758531934216275,0.7758531934216275
0,20,scen_01,3.169691527296701,3.169691527296701,0,0,1,0.3962114409120876,0.3962114409120876
