workload_id,time,server
od_00,0,3
od_00,1,2
od_00,2,2
od_00,3,2
od_00,4,2
od_00,5,2
od_00,6,0
od_00,7,2
od_00,8,2
od_00,9,4
od_00,10,4
od_00,11,3
od_00,12,0
od_00,13,0
od_00,14,0
od_00,15,1
od_00,16,0
od_00,17,0
od_00,18,0
od_00,19,0
od_00,20,4
od_00,21,0
od_00,22,0
od_00,23,4
od_01,0,3
od_01,1,3
od_01,2,4
od_01,3,3
od_01,4,3
od_01,5,4
od_01,6,3
od_01,7,0
od_01,8,4
od_01,9,0
od_01,10,4
od_01,11,2
od_01,12,1
od_01,13,2
od_01,14,0
od_01,15,1
od_01,16,4
od_01,17,3
od_01,18,4
od_01,19,2
od_01,20,4
od_01,21,0
od_01,22,0
od_01,23,0
od_02,0,0
od_02,1,1
od_02,2,3
od_02,3,4
od_02,4,2
od_02,5,4
od_02,6,4
od_02,7,1
od_02,8,4
od_02,9,2
od_02,10,2
od_02,11,1
od_02,12,2
od_02,13,4
od_02,14,3
od_02,15,2
od_02,16,0
od_02,17,0
od_02,18,0
od_02,19,4
od_02,20,0
od_02,21,0
od_02,22,3
od_02,23,0
od_03,0,1
od_03,1,1
od_03,2,4
od_03,3,2
od_03,4,3
od_03,5,2
od_03,6,1
od_03,7,1
od_03,8,3
od_03,9,3
od_03,10,2
od_03,11,3
od_03,12,0
od_03,13,2
od_03,14,0
od_03,15,1
od_03,16,2
od_03,17,3
od_03,18,0
od_03,19,3
od_03,20,3
od_03,21,1
od_03,22,0
od_03,23,0
od_04,0,1
od_04,1,2
od_04,2,4
od_04,3,1
od_04,4,4
od_04,5,3
od_04,6,2
od_04,7,4
od_04,8,1
od_04,9,3
od_04,10,1
od_04,11,0
od_04,12,3
od_04,13,1
od_04,14,1
od_04,15,0
od_04,16,0
od_04,17,4
od_04,18,1
od_04,19,4
od_04,20,0
od_04,21,4
od_04,22,3
od_04,23,0
od_05,0,3
od_05,1,2
od_05,2,2
od_05,3,3
od_05,4,3
od_05,5,3
od_05,6,4
od_05,7,3
od_05,8,3
od_05,9,2
od_05,10,3
od_05,11,1
od_05,12,4
od_05,13,0
od_05,14,1
od_05,15,2
od_05,16,3
od_05,17,2
od_05,18,2
od_05,19,4
od_05,20,1
od_05,21,1
od_05,22,1
od_05,23,0
od_06,0,3
od_06,1,3
od_06,2,2
od_06,3,1
od_06,4,0
od_06,5,0
od_06,6,3
od_06,7,0
od_06,8,3
od_06,9,1
od_06,10,1
od_06,11,4
od_06,12,4
od_06,13,3
od_06,14,2
od_06,15,0
od_06,16,3
od_06,17,1
od_06,18,3
od_06,19,0
od_06,20,4
od_06,21,2
od_06,22,2
od_06,23,3
od_07,0,0
od_07,1,0
od_07,2,1
od_07,3,4
od_07,4,0
od_07,5,3
od_07,6,0
od_07,7,3
od_07,8,0
od_07,9,3
od_07,10,0
od_07,11,1
od_07,12,3
od_07,13,2
od_07,14,3
od_07,15,1
od_07,16,3
od_07,17,4
od_07,18,1
od_07,19,2
od_07,20,1
od_07,21,1
od_07,22,1
