scenario,peak_server_load,peak_committed_server_load,peak_server_overbooking_ratio,gamma_count,phi_count,active_server_periods,peak_cluster_load,peak_cluster_committed_load,peak_cluster_overbooking_ratio,peak_server_utilization
scen_01,7.544085025237798,7.544085025237798,0.9430106281547247,0,0,144,36.72875464526712,36.72875464526712,0.765182388443065,0.9430106281547247
scen_02,7.819324484392517,7.819324484392518,0.9774155605490648,0,0,144,36.347284343650294,36.347284343650294,0.7572350904927144,0.9774155605490646
scen_03,7.718333743783536,7.718333743783536,0.964791717972942,0,0,144,39.101851758723825,39.101851758723825,0.8146219116400797,0.964791717972942
scen_04,7.721485161895975,7.721485161895976,0.965185645236997,0,0,144,38.95488268388363,38.95488268388363,0.8115600559142423,0.9651856452369969
scen_05,7.97004897947584,7.97004897947584,0.99625612243448,0,0,144,36.23780333639759,36.23780333639759,0.7549542361749498,0.99625612243448
scen_06,7.546525734674154,7.546525734674154,0.9433157168342693,0,0,144,37.72655670684885,37.72655670684885,0.7859699313926843,0.9433157168342693
scen_07,7.682436501936726,7.682436501936725,0.9603045627420906,0,0,144,35.93346157033326,35.93346157033326,0.7486137827152762,0.9603045627420908
scen_08,7.7453699689953615,7.7453699689953615,0.9681712461244202,0,0,144,37.114857925485246,37.114857925485246,0.7732262067809427,0.9681712461244202
scen_09,7.9888319919527975,7.9888319919527975,0.9986039989940997,0,0,144,37.64147316481029,37.64147316481029,0.7841973576002145,0.9986039989940997
scen_10,7.841368269659966,7.8413682696599665,0.9801710337074958,0,0,144,38.925899307738234,38.925899307738234,0.8109562355778799,0.9801710337074957
