batch_job_id,parent_workload_id,source_time,server,time
bj_00_t00,bj_00,0,1,23
bj_00_t01,bj_00,1,3,21
bj_00_t02,bj_00,2,1,9
bj_00_t03,bj_00,3,1,9
bj_00_t04,bj_00,4,0,7
bj_00_t05,bj_00,5,0,6
bj_00_t06,bj_00,6,1,19
bj_00_t07,bj_00,7,0,1
bj_00_t08,bj_00,8,3,3
bj_00_t09,bj_00,9,2,3
bj_00_t10,bj_00,10,2,11
bj_00_t11,bj_00,11,1,8
bj_00_t12,bj_00,12,2,14
bj_00_t13,bj_00,13,2,0
bj_00_t14,bj_00,14,3,22
bj_00_t15,bj_00,15,3,18
bj_00_t16,bj_00,16,1,3
bj_00_t17,bj_00,17,2,16
bj_00_t18,bj_00,18,1,12
bj_00_t19,bj_00,19,2,18
bj_00_t20,bj_00,20,2,8
bj_00_t21,bj_00,21,3,21
bj_00_t22,bj_00,22,1,15
bj_00_t23,bj_00,23,2,17
bj_01_t00,bj_01,0,3,14
bj_01_t01,bj_01,1,2,8
bj_01_t02,bj_01,2,2,15
bj_01_t03,bj_01,3,1,12
bj_01_t04,bj_01,4,3,2
bj_01_t05,bj_01,5,3,23
bj_01_t06,bj_01,6,2,13
bj_01_t07,bj_01,7,2,4
bj_01_t08,bj_01,8,1,2
bj_01_t09,bj_01,9,2,0
bj_01_t10,bj_01,10,3,0
bj_01_t11,bj_01,11,2,12
bj_01_t12,bj_01,12,3,21
bj_01_t13,bj_01,13,2,22
bj_01_t14,bj_01,14,3,3
bj_01_t15,bj_01,15,1,23
bj_01_t16,bj_01,16,3,12
bj_01_t17,bj_01,17,1,23
bj_01_t18,bj_01,18,1,17
bj_01_t19,bj_01,19,3,3
bj_01_t20,bj_01,20,1,16
bj_01_t21,bj_01,21,3,7
bj_01_t22,bj_01,22,1,14
bj_01_t23,bj_01,23,0,13
bj_02_t00,bj_02,0,3,10
bj_02_t01,bj_02,1,1,4
bj_02_t02,bj_02,2,1,1
bj_02_t03,bj_02,3,3,6
bj_02_t04,bj_02,4,3,19
bj_02_t05,bj_02,5,2,10
bj_02_t06,bj_02,6,2,16
bj_02_t07,bj_02,7,0,5
bj_02_t08,bj_02,8,2,4
bj_02_t09,bj_02,9,0,1
bj_02_t10,bj_02,10,2,11
bj_02_t11,bj_02,11,3,5
bj_02_t12,bj_02,12,3,6
bj_02_t13,bj_02,13,2,5
bj_02_t14,bj_02,14,3,13
bj_02_t15,bj_02,15,3,11
bj_02_t16,bj_02,16,1,17
bj_02_t17,bj_02,17,1,22
bj_02_t18,bj_02,18,1,9
bj_02_t19,bj_02,19,1,19
bj_02_t20,bj_02,20,3,12
bj_02_t21,bj_02,21,3,8
bj_02_t22,bj_02,22,1,11
bj_02_t23,bj_02,23,3,7
bj_03_t00,bj_03,0,2,13
bj_03_t01,bj_03,1,2,3
bj_03_t02,bj_03,2,3,17
bj_03_t03,bj_03,3,1,21
bj_03_t04,bj_03,4,2,12
bj_03_t05,bj_03,5,1,5
bj_03_t06,bj_03,6,2,7
bj_03_t07,bj_03,7,2,5
bj_03_t08,bj_03,8,1,18
bj_03_t09,bj_03,9,2,20
bj_03_t10,bj_03,10,2,21
bj_03_t11,bj_03,11,2,19
bj_03_t12,bj_03,12,2,23
bj_03_t13,bj_03,13,2,22
bj_03_t14,bj_03,14,2,15
bj_03_t15,bj_03,15,3,20
bj_03_t16,bj_03,16,0,2
bj_03_t17,bj_03,17,2,9
bj_03_t18,bj_03,18,3,0
bj_03_t19,bj_03,19,3,4
bj_03_t20,bj_03,20,2,2
bj_03_t21,bj_03,21,2,10
bj_03_t22,bj_03,22,1,13
bj_03_t23,bj_03,23,3,16
bj_04_t10,bj_04,10,2,14
bj_04_t11,bj_04,11,3,23
bj_05_t00,bj_05,0,3,1
bj_05_t01,bj_05,1,1,14
bj_05_t02,bj_05,2,2,6
bj_05_t03,bj_05,3,3,5
bj_05_t04,bj_05,4,3,23
bj_05_t05,bj_05,5,3,15
bj_05_t06,bj_05,6,2,4
bj_05_t07,bj_05,7,1,7
bj_05_t08,bj_05,8,3,9
bj_05_t09,bj_05,9,3,11
bj_05_t10,bj_05,10,1,22
bj_05_t11,bj_05,11,0,16
bj_05_t12,bj_05,12,3,14
bj_05_t13,bj_05,13,3,10
bj_05_t14,bj_05,14,2,6
bj_05_t15,bj_05,15,2,6
bj_05_t16,bj_05,16,2,0
bj_05_t17,bj_05,17,1,1
bj_05_t18,bj_05,18,3,9
bj_05_t19,bj_05,19,1,4
bj_05_t20,bj_05,20,2,2
bj_05_t21,bj_05,21,0,10
bj_05_t22,bj_05,22,3,13
bj_05_t23,bj_05,23,2,1
bj_06_t00,bj_06,0,1,15
bj_06_t01,bj_06,1,3,15
bj_06_t02,bj_06,2,1,0
bj_06_t03,bj_06,3,1,8
bj_06_t04,bj_06,4,3,8
bj_06_t05,bj_06,5,0,6
bj_06_t06,bj_06,6,3,22
bj_06_t07,bj_06,7,3,17
bj_06_t08,bj_06,8,3,2
bj_06_t09,bj_06,9,0,14
bj_06_t10,bj_06,10,3,18
bj_06_t11,bj_06,11,0,4
bj_06_t12,bj_06,12,2,3
bj_06_t13,bj_06,13,1,20
bj_06_t14,bj_06,14,1,5
bj_06_t15,bj_06,15,2,4
bj_06_t16,bj_06,16,3,2
bj_06_t17,bj_06,17,1,6
bj_06_t18,bj_06,18,3,16
bj_06_t19,bj_06,19,2,17
bj_06_t20,bj_06,20,2,14
bj_06_t21,bj_06,21,2,1
bj_06_t22,bj_06,22,1,6
bj_06_t23,bj_06,23,1,3
bj_07_t00,bj_07,0,2,1
bj_07_t01,bj_07,1,2,11
bj_07_t02,bj_07,2,2,0
bj_07_t03,bj_07,3,1,10
bj_07_t04,bj_07,4,2,18
bj_07_t05,bj_07,5,0,3
bj_07_t06,bj_07,6,1,10
bj_07_t07,bj_07,7,2,16
bj_07_t08,bj_07,8,3,8
bj_07_t09,bj_07,9,2,8
bj_07_t10,bj_07,10,0,11
bj_07_t11,bj_07,11,1,0
bj_07_t12,bj_07,12,1,19
bj_07_t13,bj_07,13,1,16
bj_07_t14,bj_07,14,2,12
bj_07_t15,bj_07,15,1,2
bj_07_t16,bj_07,16,1,7
bj_07_t17,bj_07,17,3,1
bj_07_t18,bj_07,18,2,18
bj_07_t19,bj_07,19,3,19
bj_07_t20,bj_07,20,3,7
bj_07_t21,bj_07,21,2,8
bj_07_t22,bj_07,22,1,21
bj_07_t23,bj_07,23,3,16
