scenario,time,cluster_load,cluster_committed_load,active_servers,cluster_overbooking_ratio
scen_01,0,26.66755301877921,26.667553018779213,4,0.8333610318368504
scen_01,1,27.506084452554624,27.506084452554624,4,0.859565139142332
scen_01,2,26.182204227376133,26.182204227376133,4,0.8181938821055041
scen_01,3,27.279227630543602,27.279227630543602,4,0.8524758634544876
scen_01,4,28.76969665404934,29.761193145291056,4,0.9300372857903455
scen_01,5,28.016672384641442,28.016672384641442,4,0.8755210120200451
scen_01,6,28.533908079898023,29.49607689151196,4,0.9217524028597488
scen_01,7,23.48294555833171,23.48294555833171,4,0.733842048697866
scen_01,8,27.113724686381836,27.113724686381836,4,0.8473038964494324
scen_01,9,25.395129127159652,25.395129127159652,4,0.7935977852237391
scen_01,10,28.463591777402694,29.541739074369495,4,0.9231793460740467
scen_01,11,25.23649064140858,25.23649064140858,4,0.7886403325440181
scen_01,12,24.602904641728962,24.602904641728966,4,0.7688407700540302
scen_01,13,27.576956440769145,27.576956440769145,4,0.8617798887740358
scen_01,14,27.427307876980837,27.427307876980834,4,0.857103371155651
scen_01,15,27.688231106610576,27.688231106610576,4,0.8652572220815805
scen_01,16,29.902858532054296,29.902858532054292,4,0.9344643291266966
scen_01,17,25.510049972447806,25.510049972447806,4,0.797189061638994
scen_01,18,24.320362993769862,24.32036299376986,4,0.7600113435553081
scen_01,19,25.65319389243229,25.65319389243229,4,0.8016623091385091
scen_01,20,27.068542074616346,27.068542074616346,4,0.8458919398317608
scen_01,21,28.044472578993826,29.002644650402015,4,0.906332645325063
scen_01,22,26.940840158149115,26.940840158149115,4,0.8419012549421598
scen_01,23,28.297390991483024,28.297390991483024,4,0.8842934684838445
scen_02,0,25.05717363754941,25.05717363754941,4,0.7830366761734191
scen_02,1,25.98248898131035,25.98248898131035,4,0.8119527806659484
scen_02,2,27.639225677788417,29.45290548505819,4,0.9204032964080684
scen_02,3,27.35715752433549,27.35715752433549,4,0.8549111726354841
scen_02,4,28.277013221906156,29.286966033183102,4,0.9152176885369719
scen_02,5,24.27197094964626,24.27197094964626,4,0.7584990921764456
scen_02,6,27.7377320872056,27.7377320872056,4,0.866804127725175
scen_02,7,28.42665685634298,29.58427594209421,4,0.924508623190444
scen_02,8,26.03433047673677,26.03433047673677,4,0.8135728273980241
scen_02,9,25.106181446737175,25.106181446737175,4,0.7845681702105367
scen_02,10,26.13246640158802,26.418370036530696,4,0.8255740636415843
scen_02,11,25.826565475142676,25.826565475142676,4,0.8070801710982086
scen_02,12,27.529403502549172,27.52940350254917,4,0.8602938594546615
scen_02,13,26.59717338820517,26.59717338820517,4,0.8311616683814116
scen_02,14,23.49078352484834,23.490783524848343,4,0.7340869851515107
scen_02,15,26.574895836100687,26.574895836100687,4,0.8304654948781465
scen_02,16,28.736298215023055,28.73629821502305,4,0.8980093192194704
scen_02,17,24.509436069409148,24.509436069409148,4,0.7659198771690359
scen_02,18,27.5500186476076,27.5500186476076,4,0.8609380827377375
scen_02,19,27.600544247694856,27.600544247694856,4,0.8625170077404642
scen_02,20,25.207110612883717,25.207110612883717,4,0.7877222066526162
scen_02,21,28.79041273500188,28.790412735001876,4,0.8997003979688086
scen_02,22,26.861795605016372,26.861795605016376,4,0.8394311126567617
scen_02,23,24.488605088600124,24.488605088600124,4,0.7652689090187539
scen_03,0,27.945518521253224,27.945518521253224,4,0.8732974537891632
scen_03,1,28.49025270013997,28.49025270013997,4,0.890320396879374
scen_03,2,26.392682926296693,26.392682926296693,4,0.8247713414467717
scen_03,3,28.563652979829424,28.563652979829424,4,0.8926141556196695
