workload_id,scenario,server,start_time,end_time,duration_hours
sp_00,scen_05,3,3,3,1
sp_00,scen_05,3,6,6,1
sp_00,scen_05,3,15,15,1
sp_00,scen_05,3,21,21,1
sp_00,scen_07,3,5,5,1
sp_00,scen_07,3,8,8,1
sp_00,scen_07,3,15,15,1
sp_00,scen_07,3,21,21,1
sp_01,scen_04,0,6,6,1
sp_01,scen_04,0,20,20,1
sp_01,scen_04,0,22,22,1
sp_01,scen_06,0,2,2,1
sp_01,scen_06,0,20,22,3
sp_02,scen_02,0,2,2,1
sp_02,scen_02,0,4,4,1
sp_02,scen_02,0,7,7,1
sp_02,scen_06,0,5,5,1
sp_02,scen_06,0,14,14,1
sp_02,scen_06,0,17,17,1
sp_03,scen_04,3,0,0,1
sp_03,scen_04,3,7,8,2
sp_03,scen_04,3,23,23,1
sp_03,scen_09,3,19,22,4
sp_04,scen_03,1,6,6,1
sp_04,scen_03,1,11,12,2
sp_04,scen_03,1,20,20,1
sp_04,scen_07,1,5,5,1
sp_04,scen_07,1,8,8,1
sp_04,scen_07,1,12,12,1
sp_04,scen_07,1,14,14,1
sp_05,scen_01,0,4,4,1
sp_05,scen_01,0,6,6,1
sp_05,scen_01,0,10,10,1
sp_05,scen_01,0,21,21,1
sp_05,scen_05,0,4,4,1
sp_05,scen_05,0,15,15,1
sp_05,scen_05,0,18,18,1
sp_05,scen_05,0,22,22,1
sp_06,scen_02,0,2,2,1
sp_06,scen_02,0,10,10,1
sp_06,scen_09,0,6,6,1
sp_06,scen_09,0,21,23,3
sp_07,scen_03,0,6,6,1
sp_07,scen_03,0,13,13,1
sp_07,scen_03,0,20,20,1
sp_07,scen_03,0,22,22,1
sp_07,scen_07,0,6,6,1
sp_07,scen_07,0,10,10,1
sp_07,scen_07,0,14,14,1
sp_07,scen_07,0,16,16,1
