scenario,peak_server_load,peak_committed_server_load,peak_server_overbooking_ratio,gamma_count,phi_count,active_server_periods,peak_cluster_load,peak_cluster_committed_load,peak_cluster_overbooking_ratio,peak_server_utilization
scen_01,7.9834711979582575,8.823614728172668,1.1029518410215835,0,0,120,35.543169060315684,37.435790940079634,0.9358947735019909,0.9979338997447822
scen_02,7.975416497481222,8.406404789649734,1.0508005987062168,0,0,120,34.48507641128824,35.634697138694065,0.8908674284673517,0.9969270621851527
scen_03,7.952209436672523,9.90101099748221,1.2376263746852763,1,1,120,36.36155510740611,38.531793843564934,0.9632948460891233,0.9940261795840654
scen_04,7.964766156871121,9.524026155948684,1.1905032694935855,0,0,120,33.84366263057693,34.115916421189695,0.8528979105297424,0.9955957696088902
scen_05,7.990681555784263,11.180406998408323,1.3975508748010403,0,0,120,35.19591883718979,36.45486889095664,0.9113717222739159,0.9988351944730329
scen_06,7.899605466711343,11.186224179688734,1.3982780224610918,0,0,120,34.03393173330013,37.31663215844378,0.9329158039610945,0.9874506833389178
scen_07,7.942010764209386,9.195148423334901,1.1493935529168626,0,0,120,36.23318339358319,36.23318339358319,0.9058295848395798,0.9927513455261733
scen_08,7.992166819843271,8.317239878656538,1.0396549848320673,0,0,120,33.06459688019418,33.150003993153774,0.8287500998288444,0.9990208524804088
scen_09,7.9683465134322855,8.231937417490906,1.0289921771863633,0,0,120,35.66128360604689,35.66128360604689,0.8915320901511722,0.9960433141790357
scen_10,7.953623389681354,9.400364648757535,1.1750455810946918,0,0,120,32.569816005819675,36.847537994919314,0.9211884498729829,0.9942029237101693
