workload_id,scenario,time,server,active,suspended
sp_00,scen_01,0,2,1,0
sp_00,scen_01,1,2,1,0
sp_00,scen_01,2,2,1,0
sp_00,scen_01,3,2,1,0
sp_00,scen_01,4,2,1,0
sp_00,scen_01,5,2,1,0
sp_00,scen_01,6,2,1,0
sp_00,scen_01,7,2,1,0
sp_00,scen_01,8,2,1,0
sp_00,scen_01,9,2,1,0
sp_00,scen_01,10,2,1,0
sp_00,scen_01,11,2,1,0
sp_00,scen_01,12,2,1,0
sp_00,scen_01,13,2,1,0
sp_00,scen_01,14,2,1,0
sp_00,scen_01,15,2,1,0
sp_00,scen_01,16,2,1,0
sp_00,scen_01,17,2,1,0
sp_00,scen_01,18,2,1,0
sp_00,scen_01,19,2,1,0
sp_00,scen_01,20,2,1,0
sp_00,scen_01,21,2,1,0
sp_00,scen_01,22,2,1,0
sp_00,scen_01,23,2,1,0
sp_01,scen_01,0,0,1,0
sp_01,scen_01,1,0,1,0
sp_01,scen_01,2,0,1,0
sp_01,scen_01,3,0,1,0
sp_01,scen_01,4,0,1,0
sp_01,scen_01,5,0,1,0
sp_01,scen_01,6,0,1,0
sp_01,scen_01,7,0,1,0
sp_01,scen_01,8,0,1,0
sp_01,scen_01,9,0,1,0
sp_01,scen_01,10,0,1,0
sp_01,scen_01,11,0,1,0
sp_01,scen_01,12,0,1,0
sp_01,scen_01,13,0,1,0
sp_01,scen_01,14,0,1,0
sp_01,scen_01,15,0,1,0
sp_01,scen_01,16,0,1,0
sp_01,scen_01,17,0,1,0
sp_01,scen_01,18,0,1,0
sp_01,scen_01,19,0,1,0
sp_01,scen_01,20,0,1,0
sp_01,scen_01,21,0,1,0
sp_01,scen_01,22,0,1,0
sp_01,scen_01,23,0,1,0
sp_02,scen_01,0,2,1,0
sp_02,scen_01,1,2,1,0
sp_02,scen_01,2,2,1,0
sp_02,scen_01,3,2,1,0
sp_02,scen_01,4,2,0,1
sp_02,scen_01,5,2,1,0
sp_02,scen_01,6,2,1,0
sp_02,scen_01,7,2,1,0
sp_02,scen_01,8,2,1,0
sp_02,scen_01,9,2,1,0
sp_02,scen_01,10,2,1,0
sp_02,scen_01,11,2,1,0
sp_02,scen_01,12,2,1,0
sp_02,scen_01,13,2,0,1
sp_02,scen_01,14,2,1,0
sp_02,scen_01,15,2,1,0
sp_02,scen_01,16,2,0,1
sp_02,scen_01,17,2,1,0
sp_02,scen_01,18,2,1,0
sp_02,scen_01,19,2,1,0
sp_02,scen_01,20,2,1,0
sp_02,scen_01,21,2,1,0
sp_02,scen_01,22,2,0,1
sp_02,scen_01,23,2,1,0
sp_03,scen_01,0,1,1,0
sp_03,scen_01,1,1,1,0
sp_03,scen_01,2,1,1,0
sp_03,scen_01,3,1,1,0
sp_03,scen_01,4,1,1,0
sp_03,scen_01,5,1,1,0
sp_03,scen_01,6,1,1,0
sp_03,scen_01,7,1,1,0
sp_03,scen_01,8,1,1,0
sp_03,scen_01,9,1,1,0
sp_03,scen_01,10,1,1,0
sp_03,scen_01,11,1,1,0
sp_03,scen_01,12,1,1,0
sp_03,scen_01,13,1,1,0
sp_03,scen_01,14,1,1,0
sp_03,scen_01,15,1,1,0
sp_03,scen_01,16,1,1,0
sp_03,scen_01,17,1,1,0
sp_03,scen_01,18,1,1,0
sp_03,scen_01,19,1,1,0
sp_03,scen_01,20,1,1,0
sp_03,scen_01,21,1,1,0
sp_03,scen_01,22,1,1,0
sp_03,scen_01,23,1,1,0
sp_04,scen_01,0,2,1,0
sp_04,scen_01,1,2,1,0
