batch_job_id,parent_workload_id,source_time,server,time
bj_00_t00,bj_00,0,3,1
bj_00_t01,bj_00,1,6,3
bj_00_t02,bj_00,2,3,5
bj_00_t03,bj_00,3,1,9
bj_00_t04,bj_00,4,3,7
bj_00_t05,bj_00,5,6,18
bj_00_t06,bj_00,6,5,12
bj_00_t07,bj_00,7,3,0
bj_00_t08,bj_00,8,1,15
bj_00_t09,bj_00,9,5,11
bj_00_t10,bj_00,10,3,9
bj_00_t11,bj_00,11,4,1
bj_00_t12,bj_00,12,3,19
bj_00_t13,bj_00,13,0,5
bj_00_t14,bj_00,14,0,0
bj_00_t15,bj_00,15,0,3
bj_00_t16,bj_00,16,6,11
bj_00_t17,bj_00,17,6,22
bj_00_t18,bj_00,18,6,4
bj_00_t19,bj_00,19,6,12
bj_00_t20,bj_00,20,7,22
bj_00_t21,bj_00,21,0,15
bj_00_t22,bj_00,22,7,20
bj_00_t23,bj_00,23,3,8
bj_01_t00,bj_01,0,5,15
bj_01_t01,bj_01,1,6,5
bj_01_t02,bj_01,2,0,9
bj_01_t03,bj_01,3,1,10
bj_01_t04,bj_01,4,0,17
bj_01_t05,bj_01,5,7,21
bj_01_t06,bj_01,6,7,18
bj_01_t07,bj_01,7,6,13
bj_01_t08,bj_01,8,6,4
bj_01_t09,bj_01,9,5,23
bj_01_t10,bj_01,10,1,19
bj_01_t11,bj_01,11,4,16
bj_01_t12,bj_01,12,3,6
bj_01_t13,bj_01,13,7,16
bj_01_t14,bj_01,14,0,20
bj_01_t15,bj_01,15,5,20
bj_01_t16,bj_01,16,0,16
bj_01_t17,bj_01,17,4,16
bj_01_t18,bj_01,18,5,7
bj_01_t19,bj_01,19,5,21
bj_01_t20,bj_01,20,7,9
bj_01_t21,bj_01,21,1,18
bj_01_t22,bj_01,22,0,10
bj_01_t23,bj_01,23,0,9
bj_02_t00,bj_02,0,3,17
bj_02_t01,bj_02,1,7,5
bj_02_t02,bj_02,2,7,11
bj_02_t03,bj_02,3,3,17
bj_02_t04,bj_02,4,3,13
bj_02_t05,bj_02,5,0,13
bj_02_t06,bj_02,6,2,12
bj_02_t07,bj_02,7,3,22
bj_02_t08,bj_02,8,6,2
bj_02_t09,bj_02,9,0,2
bj_02_t10,bj_02,10,0,20
bj_02_t11,bj_02,11,6,5
bj_02_t12,bj_02,12,7,16
bj_02_t13,bj_02,13,6,15
bj_02_t14,bj_02,14,6,6
bj_02_t15,bj_02,15,7,1
bj_02_t16,bj_02,16,5,14
bj_02_t17,bj_02,17,7,0
bj_02_t18,bj_02,18,5,16
bj_02_t19,bj_02,19,7,2
bj_02_t20,bj_02,20,6,13
