scenario,peak_server_load,peak_committed_server_load,peak_server_overbooking_ratio,gamma_count,phi_count,active_server_periods,peak_cluster_load,peak_cluster_committed_load,peak_cluster_overbooking_ratio,peak_server_utilization
scen_01,7.98140140142187,8.792574222240454,1.0990717777800567,0,0,192,40.751400816395616,40.751400816395616,0.6367406377561815,0.9976751751777337
scen_02,7.941863367696294,8.43256924251611,1.0540711553145137,0,0,192,41.567724638186476,41.567724638186476,0.6494956974716637,0.9927329209620368
scen_03,7.951540802103479,9.158311350532268,1.1447889188165334,0,0,192,42.769490422958775,42.76949042295878,0.668273287858731,0.9939426002629349
scen_04,7.80120733215996,8.925708823713059,1.1157136029641324,0,0,192,40.13294526817045,42.511196573622094,0.6642374464628452,0.975150916519995
scen_05,7.822747496365547,8.179295178557727,1.0224118973197158,0,0,192,41.39717200097904,41.39717200097904,0.6468308125152975,0.9778434370456933
scen_06,7.964016432139044,7.964016432139044,0.9955020540173805,0,0,192,38.113583254424825,38.113583254424825,0.5955247383503879,0.9955020540173805
scen_07,7.973875289522763,7.973875289522763,0.9967344111903453,0,0,192,38.6934878188528,39.03186019781442,0.6098728155908503,0.9967344111903453
scen_08,7.925432228372226,8.330127566013829,1.0412659457517286,0,0,192,39.10060869591021,39.71701492673951,0.6205783582303048,0.9906790285465282
scen_09,7.9214281201128305,8.728420461554084,1.0910525576942605,0,0,192,40.913356483781534,41.54035597261857,0.6490680620721652,0.9901785150141038
scen_10,7.923513374106957,9.561113320931469,1.1951391651164336,0,0,192,40.07436811673571,41.7201727277609,0.651877698871264,0.9904391717633696
