workload_id,scenario,server,start_time,end_time,duration_hours
sp_00,scen_02,2,14,14,1
sp_00,scen_02,2,16,16,1
sp_00,scen_09,2,5,5,1
sp_00,scen_09,2,15,16,2
sp_00,scen_09,2,22,22,1
sp_01,scen_01,2,0,1,2
sp_01,scen_01,2,15,15,1
sp_01,scen_01,2,17,17,1
sp_01,scen_04,2,0,0,1
sp_01,scen_04,2,9,9,1
sp_01,scen_04,2,16,16,1
sp_01,scen_04,2,20,20,1
sp_02,scen_08,4,4,4,1
sp_02,scen_08,4,16,16,1
sp_02,scen_08,4,18,19,2
sp_02,scen_09,4,1,2,2
sp_02,scen_09,4,5,5,1
sp_02,scen_09,4,16,16,1
sp_03,scen_01,4,6,6,1
sp_03,scen_01,4,11,11,1
sp_03,scen_01,4,13,13,1
sp_03,scen_01,4,15,15,1
sp_03,scen_05,4,0,0,1
sp_03,scen_05,4,10,11,2
sp_03,scen_05,4,13,13,1
sp_04,scen_06,0,5,7,3
sp_04,scen_06,0,17,17,1
sp_04,scen_08,0,2,2,1
sp_04,scen_08,0,4,4,1
sp_04,scen_08,0,8,8,1
sp_04,scen_08,0,10,10,1
sp_05,scen_03,2,5,5,1
sp_05,scen_03,2,20,20,1
sp_05,scen_03,2,22,22,1
sp_05,scen_08,2,1,1,1
sp_05,scen_08,2,3,3,1
sp_05,scen_08,2,12,13,2
sp_06,scen_05,1,3,3,1
sp_06,scen_05,1,8,8,1
sp_06,scen_05,1,23,23,1
sp_06,scen_10,1,4,4,1
sp_06,scen_10,1,19,19,1
sp_06,scen_10,1,22,23,2
sp_07,scen_04,6,4,4,1
sp_07,scen_04,6,7,8,2
sp_07,scen_04,6,16,16,1
sp_07,scen_07,6,4,4,1
sp_07,scen_07,6,11,11,1
sp_07,scen_07,6,21,22,2
