batch_job_id,parent_workload_id,source_time,server,time
bj_00_t00,bj_00,0,5,23
bj_00_t01,bj_00,1,5,23
bj_00_t02,bj_00,2,5,22
bj_00_t03,bj_00,3,5,22
bj_00_t04,bj_00,4,5,23
bj_00_t05,bj_00,5,5,21
bj_00_t06,bj_00,6,5,21
bj_00_t07,bj_00,7,5,21
bj_00_t08,bj_00,8,5,21
bj_00_t09,bj_00,9,5,21
bj_00_t10,bj_00,10,5,20
bj_00_t11,bj_00,11,5,20
bj_00_t12,bj_00,12,5,19
bj_00_t13,bj_00,13,5,18
bj_00_t14,bj_00,14,5,17
bj_00_t15,bj_00,15,5,16
bj_00_t16,bj_00,16,5,14
bj_00_t17,bj_00,17,5,18
bj_00_t18,bj_00,18,5,17
bj_00_t19,bj_00,19,5,15
bj_00_t20,bj_00,20,5,20
bj_00_t21,bj_00,21,5,16
bj_00_t22,bj_00,22,5,21
bj_00_t23,bj_00,23,5,18
bj_01_t00,bj_01,0,5,19
bj_01_t01,bj_01,1,5,15
bj_01_t02,bj_01,2,5,15
bj_01_t03,bj_01,3,5,14
bj_01_t04,bj_01,4,5,13
bj_01_t05,bj_01,5,5,13
bj_01_t06,bj_01,6,5,14
bj_01_t07,bj_01,7,5,13
bj_01_t08,bj_01,8,5,13
bj_01_t09,bj_01,9,5,13
bj_01_t10,bj_01,10,5,12
bj_01_t11,bj_01,11,5,12
bj_01_t12,bj_01,12,5,12
bj_01_t13,bj_01,13,5,15
bj_01_t14,bj_01,14,5,11
bj_01_t15,bj_01,15,5,11
bj_01_t16,bj_01,16,5,11
bj_01_t17,bj_01,17,5,14
bj_01_t18,bj_01,18,5,17
bj_01_t19,bj_01,19,5,12
bj_01_t20,bj_01,20,5,11
bj_01_t21,bj_01,21,5,11
bj_01_t22,bj_01,22,5,10
bj_01_t23,bj_01,23,5,11
bj_02_t00,bj_02,0,5,10
bj_02_t01,bj_02,1,5,10
bj_02_t02,bj_02,2,5,10
bj_02_t03,bj_02,3,5,9
bj_02_t04,bj_02,4,5,9
bj_02_t05,bj_02,5,5,8
bj_02_t06,bj_02,6,5,8
bj_02_t07,bj_02,7,5,7
bj_02_t08,bj_02,8,5,9
bj_02_t09,bj_02,9,5,8
bj_02_t10,bj_02,10,5,7
bj_02_t11,bj_02,11,5,6
bj_02_t12,bj_02,12,5,6
bj_02_t13,bj_02,13,5,5
bj_02_t14,bj_02,14,5,4
bj_02_t15,bj_02,15,5,3
bj_02_t16,bj_02,16,5,6
bj_02_t17,bj_02,17,5,3
bj_02_t18,bj_02,18,5,2
bj_02_t19,bj_02,19,5,1
bj_02_t20,bj_02,20,5,7
bj_02_t21,bj_02,21,5,4
bj_02_t22,bj_02,22,5,2
bj_02_t23,bj_02,23,5,2
bj_03_t00,bj_03,0,5,0
bj_03_t01,bj_03,1,4,23
bj_03_t02,bj_03,2,4,23
bj_03_t03,bj_03,3,4,23
bj_03_t04,bj_03,4,4,23
bj_03_t05,bj_03,5,4,23
bj_03_t06,bj_03,6,4,23
bj_03_t07,bj_03,7,4,22
bj_03_t08,bj_03,8,4,22
bj_03_t09,bj_03,9,4,22
bj_03_t10,bj_03,10,4,22
bj_03_t11,bj_03,11,4,22
bj_03_t12,bj_03,12,4,22
bj_03_t13,bj_03,13,4,21
bj_03_t14,bj_03,14,4,21
bj_03_t15,bj_03,15,4,21
bj_03_t16,bj_03,16,4,21
bj_03_t17,bj_03,17,4,21
bj_03_t18,bj_03,18,4,21
bj_03_t19,bj_03,19,4,20
bj_03_t20,bj_03,20,4,20
bj_03_t21,bj_03,21,4,21
bj_03_t22,bj_03,22,4,20
bj_03_t23,bj_03,23,4,20
bj_04_t00,bj_04,0,4,19
bj_04_t01,bj_04,1,4,19
bj_04_t02,bj_04,2,4,20
bj_04_t03,bj_04,3,4,18
bj_04_t04,bj_04,4,4,18
bj_04_t05,bj_04,5,4,17
bj_04_t06,bj_04,6,4,17
bj_04_t07,bj_04,7,4,16
bj_04_t08,bj_04,8,4,16
bj_04_t09,bj_04,9,4,15
bj_04_t10,bj_04,10,4,15
bj_04_t11,bj_04,11,4,14
bj_04_t12,bj_04,12,4,14
bj_04_t13,bj_04,13,4,13
bj_04_t14,bj_04,14,4,13
bj_04_t15,bj_04,15,4,12
bj_04_t16,bj_04,16,4,12
bj_04_t17,bj_04,17,4,11
bj_04_t18,bj_04,18,4,10
bj_04_t19,bj_04,19,4,9
bj_04_t20,bj_04,20,4,9
bj_04_t21,bj_04,21,4,8
bj_04_t22,bj_04,22,4,8
bj_04_t23,bj_04,23,4,7
bj_05_t00,bj_05,0,5,1
bj_05_t01,bj_05,1,4,22
bj_05_t02,bj_05,2,5,3
bj_05_t03,bj_05,3,4,19
bj_05_t04,bj_05,4,4,16
bj_05_t05,bj_05,5,4,19
bj_05_t06,bj_05,6,4,18
bj_05_t07,bj_05,7,4,14
bj_05_t08,bj_05,8,5,0
bj_05_t09,bj_05,9,4,12
bj_05_t10,bj_05,10,4,11
bj_05_t11,bj_05,11,4,18
bj_05_t12,bj_05,12,4,17
bj_05_t13,bj_05,13,4,14
bj_05_t14,bj_05,14,4,11
bj_05_t15,bj_05,15,5,5
bj_05_t16,bj_05,16,4,13
bj_05_t17,bj_05,17,4,10
bj_05_t18,bj_05,18,4,10
bj_05_t19,bj_05,19,4,10
bj_05_t20,bj_05,20,4,11
bj_05_t21,bj_05,21,4,8
bj_05_t22,bj_05,22,4,7
bj_05_t23,bj_05,23,4,10
bj_06_t00,bj_06,0,5,1
bj_06_t01,bj_06,1,4,7
bj_06_t02,bj_06,2,4,9
bj_06_t03,bj_06,3,4,19
bj_06_t04,bj_06,4,4,15
bj_06_t05,bj_06,5,4,23
bj_06_t06,bj_06,6,4,7
bj_06_t07,bj_06,7,4,7
