scenario,peak_server_load,peak_committed_server_load,peak_server_overbooking_ratio,gamma_count,phi_count,active_server_periods,peak_cluster_load,peak_cluster_committed_load,peak_cluster_overbooking_ratio,peak_server_utilization
scen_01,7.9983633727559225,7.9983633727559225,0.9997954215944903,0,0,144,29.542821458120084,29.542821458120084,0.6154754470441685,0.9997954215944903
scen_02,7.995248252115089,7.995248252115088,0.999406031514386,0,0,144,28.2634540097933,28.2634540097933,0.5888219585373604,0.9994060315143861
scen_03,7.975463623202112,7.975463623202111,0.9969329529002638,0,0,144,29.245454470895,29.245454470895005,0.6092803014769793,0.996932952900264
scen_04,7.99576401353603,7.9957640135360295,0.9994705016920037,0,0,144,27.69804695116816,27.698046951168163,0.5770426448160034,0.9994705016920038
scen_05,7.9919936999745405,7.991993699974541,0.9989992124968177,0,0,144,27.38644759692174,27.38644759692174,0.5705509916025363,0.9989992124968176
scen_06,7.998619190385846,7.998619190385847,0.9998273987982309,0,0,144,27.8926276373943,27.8926276373943,0.5810964091123813,0.9998273987982308
scen_07,7.997614058726509,7.997614058726509,0.9997017573408137,0,0,144,28.784594216868644,28.784594216868648,0.5996790461847635,0.9997017573408137
scen_08,7.99610532716833,7.99610532716833,0.9995131658960412,0,0,144,27.659969389767745,27.65996938976775,0.5762493622868281,0.9995131658960412
scen_09,7.997776618455607,7.997776618455607,0.9997220773069508,0,0,144,28.06862263496336,28.06862263496336,0.5847629715617367,0.9997220773069508
scen_10,7.993024618884407,7.993024618884407,0.9991280773605509,0,0,144,28.193536057075043,28.193536057075043,0.5873653345223967,0.9991280773605509
