batch_job_id,parent_workload_id,source_time,server,time
bj_00_t00,bj_00,0,4,23
bj_00_t01,bj_00,1,0,2
bj_00_t02,bj_00,2,2,17
bj_00_t03,bj_00,3,4,20
bj_00_t04,bj_00,4,0,11
bj_00_t05,bj_00,5,0,18
bj_00_t06,bj_00,6,1,6
bj_00_t07,bj_00,7,0,11
bj_00_t08,bj_00,8,4,23
bj_00_t09,bj_00,9,2,6
bj_00_t10,bj_00,10,4,19
bj_00_t11,bj_00,11,4,19
bj_00_t12,bj_00,12,4,17
bj_00_t13,bj_00,13,4,6
bj_00_t14,bj_00,14,0,5
bj_00_t15,bj_00,15,1,22
bj_00_t16,bj_00,16,2,8
bj_00_t17,bj_00,17,4,7
bj_00_t18,bj_00,18,0,9
bj_00_t19,bj_00,19,4,15
bj_00_t20,bj_00,20,2,15
bj_00_t21,bj_00,21,2,4
bj_00_t22,bj_00,22,2,17
bj_00_t23,bj_00,23,2,4
bj_01_t00,bj_01,0,0,6
bj_01_t01,bj_01,1,4,17
bj_01_t02,bj_01,2,1,23
bj_01_t03,bj_01,3,1,10
bj_01_t04,bj_01,4,1,13
bj_01_t05,bj_01,5,4,4
bj_01_t06,bj_01,6,4,2
bj_01_t07,bj_01,7,2,17
bj_01_t08,bj_01,8,2,9
bj_01_t09,bj_01,9,4,1
bj_01_t10,bj_01,10,4,3
bj_01_t11,bj_01,11,4,0
bj_01_t12,bj_01,12,2,6
bj_01_t13,bj_01,13,3,23
bj_01_t14,bj_01,14,4,2
bj_01_t15,bj_01,15,2,4
bj_01_t16,bj_01,16,4,12
bj_01_t17,bj_01,17,2,2
bj_01_t18,bj_01,18,3,13
bj_01_t19,bj_01,19,4,1
bj_01_t20,bj_01,20,0,3
bj_01_t21,bj_01,21,3,21
bj_01_t22,bj_01,22,3,2
bj_01_t23,bj_01,23,3,4
bj_02_t00,bj_02,0,3,11
bj_02_t01,bj_02,1,1,22
bj_02_t02,bj_02,2,2,13
bj_02_t03,bj_02,3,0,22
bj_02_t04,bj_02,4,2,9
bj_02_t05,bj_02,5,1,18
bj_02_t06,bj_02,6,3,3
bj_02_t07,bj_02,7,0,23
bj_02_t08,bj_02,8,1,0
bj_02_t09,bj_02,9,0,19
bj_02_t10,bj_02,10,3,2
bj_02_t11,bj_02,11,3,23
bj_02_t12,bj_02,12,3,18
bj_02_t13,bj_02,13,0,0
bj_02_t14,bj_02,14,1,8
bj_02_t15,bj_02,15,3,13
bj_02_t16,bj_02,16,3,20
bj_02_t17,bj_02,17,3,19
bj_02_t18,bj_02,18,3,9
bj_02_t19,bj_02,19,0,8
bj_02_t20,bj_02,20,2,16
bj_02_t21,bj_02,21,0,9
bj_02_t22,bj_02,22,3,2
bj_02_t23,bj_02,23,3,7
bj_03_t00,bj_03,0,0,14
bj_03_t01,bj_03,1,1,12
bj_03_t02,bj_03,2,1,21
bj_03_t03,bj_03,3,0,12
bj_03_t04,bj_03,4,2,0
bj_03_t05,bj_03,5,2,9
bj_03_t06,bj_03,6,1,18
bj_03_t07,bj_03,7,0,2
bj_03_t08,bj_03,8,3,22
bj_03_t09,bj_03,9,3,9
bj_03_t10,bj_03,10,0,4
bj_03_t11,bj_03,11,4,8
bj_03_t12,bj_03,12,1,15
bj_03_t13,bj_03,13,3,5
bj_03_t14,bj_03,14,1,17
bj_03_t15,bj_03,15,0,21
bj_03_t16,bj_03,16,3,11
bj_03_t17,bj_03,17,1,7
bj_03_t18,bj_03,18,3,10
bj_03_t19,bj_03,19,1,23
bj_03_t20,bj_03,20,0,6
bj_03_t21,bj_03,21,1,11
bj_03_t22,bj_03,22,1,19
bj_03_t23,bj_03,23,1,21
bj_04_t00,bj_04,0,2,1
bj_04_t01,bj_04,1,2,7
bj_04_t02,bj_04,2,1,1
bj_04_t03,bj_04,3,1,7
bj_04_t04,bj_04,4,1,4
bj_04_t05,bj_04,5,0,1
bj_04_t06,bj_04,6,3,22
bj_04_t07,bj_04,7,3,15
bj_04_t08,bj_04,8,2,5
bj_04_t09,bj_04,9,1,0
bj_04_t10,bj_04,10,2,3
bj_04_t11,bj_04,11,1,21
bj_04_t12,bj_04,12,3,13
bj_04_t13,bj_04,13,2,10
bj_04_t14,bj_04,14,3,12
bj_04_t15,bj_04,15,3,20
bj_04_t16,bj_04,16,0,2
bj_04_t17,bj_04,17,3,20
bj_04_t18,bj_04,18,3,0
bj_04_t19,bj_04,19,3,16
bj_04_t20,bj_04,20,0,23
bj_04_t21,bj_04,21,0,3
bj_04_t22,bj_04,22,3,21
bj_04_t23,bj_04,23,3,4
