server,time,scenario,load,committed_load,gamma,phi,u,realized_utilization,overbooking_ratio
0,0,scen_01,7.150000133625512,7.150000133625511,0,0,1,0.893750016703189,0.8937500167031889
0,1,scen_01,5.9907290548425065,5.990729054842507,0,0,1,0.7488411318553133,0.7488411318553134
0,2,scen_01,6.955688662786,6.955688662785999,0,0,1,0.86946108284825,0.8694610828482499
0,3,scen_01,6.488954785980539,6.488954785980539,0,0,1,0.8111193482475674,0.8111193482475674
0,4,scen_01,7.290419955365436,7.2904199553654365,0,0,1,0.9113024944206795,0.9113024944206796
0,5,scen_01,5.4456927204802374,5.4456927204802374,0,0,1,0.6807115900600297,0.6807115900600297
0,6,scen_01,6.305842454653196,6.305842454653197,0,0,1,0.7882303068316495,0.7882303068316496
0,7,scen_01,4.654658546756661,4.654658546756661,0,0,1,0.5818323183445826,0.5818323183445826
0,8,scen_01,6.957444108922922,6.957444108922923,0,0,1,0.8696805136153652,0.8696805136153654
0,9,scen_01,6.562488276723777,6.562488276723776,0,0,1,0.8203110345904722,0.820311034590472
0,10,scen_01,2.3807388537525833,2.3807388537525833,0,0,1,0.2975923567190729,0.2975923567190729
0,11,scen_01,4.7794167393337705,4.779416739333771,0,0,1,0.5974270924167213,0.5974270924167214
0,12,scen_01,7.22356890266239,7.22356890266239,0,0,1,0.9029461128327988,0.9029461128327988
0,13,scen_01,7.156781545539754,7.156781545539754,0,0,1,0.8945976931924693,0.8945976931924693
0,14,scen_01,7.6258421595920645,7.6258421595920645,0,0,1,0.9532302699490081,0.9532302699490081
0,15,scen_01,7.1502210678075,7.1502210678075,0,0,1,0.8937776334759375,0.8937776334759375
0,16,scen_01,5.985089931502288,5.985089931502289,0,0,1,0.748136241437786,0.7481362414377861
0,17,scen_01,7.503057124504331,7.503057124504332,0,0,1,0.9378821405630414,0.9378821405630415
0,18,scen_01,6.859345950948284,6.859345950948285,0,0,1,0.8574182438685355,0.8574182438685356
0,19,scen_01,6.232705222979558,6.232705222979558,0,0,1,0.7790881528724447,0.7790881528724447
0,20,scen_01,6.736951818130308,6.736951818130308,0,0,1,0.8421189772662885,0.8421189772662885
0,21,scen_01,3.679041991272665,3.6790419912726646,0,0,1,0.45988024890908313,0.4598802489090831
0,22,scen_01,4.8711425895047,4.871142589504701,0,0,1,0.6088928236880875,0.6088928236880876
0,23,scen_01,7.071984555199591,7.071984555199592,0,0,1,0.8839980693999488,0.883998069399949
1,0,scen_01,7.620904273844861,7.620904273844861,0,0,1,0.9526130342306076,0.9526130342306076
1,1,scen_01,7.031074370975004,7.031074370975004,0,0,1,0.8788842963718755,0.8788842963718755
1,2,scen_01,6.800133609653796,6.800133609653795,0,0,1,0.8500167012067245,0.8500167012067243
1,3,scen_01,7.180098031016934,7.180098031016934,0,0,1,0.8975122538771168,0.8975122538771168
1,4,scen_01,6.85764997826492,6.85764997826492,0,0,1,0.857206247283115,0.857206247283115
1,5,scen_01,3.110258471397405,3.110258471397405,0,0,1,0.38878230892467563,0.38878230892467563
1,6,scen_01,7.8777793245717955,7.8777793245717955,0,0,1,0.9847224155714744,0.9847224155714744
1,7,scen_01,7.485552715036768,7.485552715036768,0,0,1,0.935694089379596,0.935694089379596
1,8,scen_01,6.6979575220973455,6.6979575220973455,0,0,1,0.8372446902621682,0.8372446902621682
1,9,scen_01,4.202636039855491,4.202636039855491,0,0,1,0.5253295049819364,0.5253295049819364
1,10,scen_01,3.171523971403989,3.171523971403989,0,0,1,0.3964404964254986,0.3964404964254986
1,11,scen_01,5.651841538623423,5.651841538623423,0,0,1,0.7064801923279279,0.7064801923279279
1,12,scen_01,6.037263089559267,6.037263089559267,0,0,1,0.7546578861949084,0.7546578861949084
1,13,scen_01,7.380438972602096,7.380438972602096,0,0,1,0.922554871575262,0.922554871575262
1,14,scen_01,6.649044537660915,6.649044537660915,0,0,1,0.8311305672076144,0.8311305672076144
1,15,scen_01,4.671720758924956,4.671720758924957,0,0,1,0.5839650948656195,0.5839650948656196
1,16,scen_01,7.544505007475644,7.544505007475644,0,0,1,0.9430631259344555,0.9430631259344555
1,17,scen_01,6.894990364838988,6.894990364838989,0,0,1,0.8618737956048735,0.8618737956048736
1,18,scen_01,5.360857745788105,5.360857745788105,0,0,1,0.6701072182235132,0.6701072182235132
1,19,scen_01,7.592002938875393,7.592002938875393,0,0,1,0.9490003673594242,0.9490003673594242
1,20,scen_01,5.785056799444581,5.785056799444581,0,0,1,0.7231320999305726,0.7231320999305726
1,21,scen_01,7.465909172367471,7.465909172367472,0,0,1,0.9332386465459339,0.933238646545934
1,22,scen_01,7.732130878727634,7.732130878727635,0,0,1,0.9665163598409543,0.9665163598409544
1,23,scen_01,6.964498418776836,6.964498418776836,0,0,1,0.8705623023471045,0.8705623023471045
2,0,scen_01,7.903363558665401,7.903363558665401,0,0,1,0.9879204448331751,0.9879204448331751
2,1,scen_01,7.528611237358616,7.528611237358617,0,0,1,0.941076404669827,0.9410764046698271
2,2,scen_01,7.59283328180413,7.592833281804129,0,0,1,0.9491041602255162,0.9491041602255161
2,3,scen_01,7.910450089390006,7.910450089390006,0,0,1,0.9888062611737507,0.9888062611737507
2,4,scen_01,6.252870111967843,6.252870111967843,0,0,1,0.7816087639959803,0.7816087639959803
2,5,scen_01,5.0163510128024065,5.0163510128024065,0,0,1,0.6270438766003008,0.6270438766003008
2,6,scen_01,5.200566550070487,5.200566550070487,0,0,1,0.6500708187588109,0.6500708187588109
2,7,scen_01,6.057121599005128,6.057121599005129,0,0,1,0.757140199875641,0.7571401998756411
2,8,scen_01,5.633298809424371,5.633298809424371,0,0,1,0.7041623511780464,0.7041623511780464
2,9,scen_01,7.609738900395622,7.609738900395623,0,0,1,0.9512173625494528,0.9512173625494529
2,10,scen_01,7.726313548229438,7.726313548229438,0,0,1,0.9657891935286798,0.9657891935286798
2,11,scen_01,6.30059535190217,6.30059535190217,0,0,1,0.7875744189877713,0.7875744189877713
2,12,scen_01,6.577011377025724,6.577011377025724,0,0,1,0.8221264221282155,0.8221264221282155
2,13,scen_01,7.8171587879747,7.8171587879747,0,0,1,0.9771448484968375,0.9771448484968375
2,14,scen_01,7.369439653284739,7.369439653284738,0,0,1,0.9211799566605924,0.9211799566605923
2,15,scen_01,6.2292203765096135,6.2292203765096135,0,0,1,0.7786525470637017,0.7786525470637017
2,16,scen_01,7.94837633604198,7.948376336041981,0,0,1,0.9935470420052475,0.9935470420052476
2,17,scen_01,6.561296109220702,6.561296109220703,0,0,1,0.8201620136525878,0.8201620136525879
2,18,scen_01,7.642816906973185,7.642816906973185,0,0,1,0.9553521133716482,0.9553521133716482
2,19,scen_01,6.569573390423221,6.569573390423221,0,0,1,0.8211966738029026,0.8211966738029026
2,20,scen_01,7.267547121408187,7.267547121408186,0,0,1,0.9084433901760234,0.9084433901760233
2,21,scen_01,6.831639018941636,6.831639018941635,0,0,1,0.8539548773677045,0.8539548773677044
2,22,scen_01,6.749787255538821,6.74978725553882,0,0,1,0.8437234069423526,0.8437234069423525
2,23,scen_01,7.7572237787018485,7.757223778701849,0,0,1,0.9696529723377311,0.9696529723377312
3,0,scen_01,3.412378039034961,3.412378039034961,0,0,1,0.4265472548793701,0.4265472548793701
3,1,scen_01,4.262027463460726,4.262027463460726,0,0,1,0.5327534329325907,0.5327534329325907
3,2,scen_01,3.87854529383202,3.87854529383202,0,0,1,0.4848181617290025,0.4848181617290025
3,3,scen_01,2.821581305750436,2.821581305750436,0,0,1,0.3526976632188045,0.3526976632188045
3,4,scen_01,2.750294572703756,2.750294572703756,0,0,1,0.3437868215879695,0.3437868215879695
3,5,scen_01,2.6456324156226714,2.6456324156226714,0,0,1,0.3307040519528339,0.3307040519528339
3,6,scen_01,0.0,0.0,0,0,1,0.0,0.0
3,7,scen_01,6.052277454362727,6.052277454362727,0,0,1,0.7565346817953409,0.7565346817953409
3,8,scen_01,0.0,0.0,0,0,1,0.0,0.0
3,9,scen_01,1.4558933467871995,1.4558933467871995,0,0,1,0.18198666834839994,0.18198666834839994
3,10,scen_01,5.559657908823586,5.559657908823586,0,0,1,0.6949572386029482,0.6949572386029482
3,11,scen_01,1.7504102693036179,1.7504102693036179,0,0,1,0.21880128366295223,0.21880128366295223
3,12,scen_01,5.562309794964127,5.562309794964127,0,0,1,0.6952887243705159,0.6952887243705159
3,13,scen_01,4.569421462441628,4.569421462441627,0,0,1,0.5711776828052035,0.5711776828052034
3,14,scen_01,0.3330535893105204,0.3330535893105204,0,0,1,0.04163169866381505,0.04163169866381505
3,15,scen_01,0.7348003219606554,0.7348003219606554,0,0,1,0.09185004024508192,0.09185004024508192
3,16,scen_01,3.513986089693633,3.513986089693633,0,0,1,0.4392482612117041,0.4392482612117041
3,17,scen_01,4.611963751120213,4.611963751120213,0,0,1,0.5764954688900267,0.5764954688900267
3,18,scen_01,3.0504970790814907,3.0504970790814907,0,0,1,0.38131213488518634,0.38131213488518634
3,19,scen_01,1.6125137650527472,1.6125137650527472,0,0,1,0.2015642206315934,0.2015642206315934
3,20,scen_01,7.161788906540082,7.161788906540082,0,0,1,0.8952236133175102,0.8952236133175102
3,21,scen_01,5.767022281690223,5.767022281690223,0,0,1,0.7208777852112779,0.7208777852112779
3,22,scen_01,3.3624425984490456,3.3624425984490456,0,0,1,0.4203053248061307,0.4203053248061307
3,23,scen_01,2.8258226498415135,2.8258226498415135,0,0,1,0.3532278312301892,0.3532278312301892
4,0,scen_01,7.030692634667677,7.030692634667677,0,0,1,0.8788365793334596,0.8788365793334596
4,1,scen_01,7.742798291873546,7.742798291873546,0,0,1,0.9678497864841933,0.9678497864841933
4,2,scen_01,7.51332272143784,7.51332272143784,0,0,1,0.93916534017973,0.93916534017973
4,3,scen_01,7.654044314381843,7.654044314381843,0,0,1,0.9567555392977304,0.9567555392977304
4,4,scen_01,5.452586846080822,5.452586846080822,0,0,1,0.6815733557601027,0.6815733557601027
4,5,scen_01,6.865778605108838,6.865778605108838,0,0,1,0.8582223256386048,0.8582223256386048
4,6,scen_01,6.875562018929653,6.875562018929653,0,0,1,0.8594452523662066,0.8594452523662066
4,7,scen_01,4.623219024690549,4.623219024690549,0,0,1,0.5779023780863186,0.5779023780863186
4,8,scen_01,7.516639310285463,7.5166393102854645,0,0,1,0.9395799137856828,0.9395799137856831
4,9,scen_01,7.809663399269683,7.809663399269683,0,0,1,0.9762079249087103,0.9762079249087103
4,10,scen_01,7.448760372173091,7.448760372173091,0,0,1,0.9310950465216363,0.9310950465216363
4,11,scen_01,7.768566492653506,7.768566492653507,0,0,1,0.9710708115816883,0.9710708115816884
4,12,scen_01,7.696869482590291,7.696869482590291,0,0,1,0.9621086853237864,0.9621086853237864
4,13,scen_01,7.306754401971115,7.306754401971114,0,0,1,0.9133443002463894,0.9133443002463892
4,14,scen_01,7.183713495429553,7.183713495429554,0,0,1,0.8979641869286942,0.8979641869286943
4,15,scen_01,6.390636599632437,6.390636599632437,0,0,1,0.7988295749540546,0.7988295749540546
4,16,scen_01,7.697541143835286,7.697541143835286,0,0,1,0.9621926429794108,0.9621926429794108
4,17,scen_01,7.026252906706781,7.026252906706781,0,0,1,0.8782816133383476,0.8782816133383476
4,18,scen_01,7.5749413525604545,7.5749413525604545,0,0,1,0.9468676690700568,0.9468676690700568
4,19,scen_01,6.337583491456553,6.337583491456552,0,0,1,0.7921979364320691,0.792197936432069
4,20,scen_01,7.160210001129059,7.160210001129058,0,0,1,0.8950262501411324,0.8950262501411322
4,21,scen_01,6.631090736368865,6.631090736368865,0,0,1,0.8288863420461081,0.8288863420461081
4,22,scen_01,7.376763757283863,7.376763757283863,0,0,1,0.9220954696604828,0.9220954696604828
4,23,scen_01,6.971275257651786,6.9712752576517865,0,0,1,0.8714094072064732,0.8714094072064733
5,0,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,1,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,2,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,3,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,4,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,5,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,6,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,7,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,8,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,9,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,10,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,11,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,12,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,13,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,14,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,15,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,16,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,17,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,18,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,19,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,20,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,21,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,22,scen_01,0.0,0.0,0,0,0,0.0,0.0
5,23,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,0,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,1,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,2,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,3,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,4,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,5,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,6,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,7,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,8,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,9,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,10,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,11,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,12,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,13,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,14,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,15,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,16,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,17,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,18,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,19,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,20,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,21,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,22,scen_01,0.0,0.0,0,0,0,0.0,0.0
6,23,scen_01,0.0,0.0,0,0,0,0.0,0.0
0,0,scen_02,6.72763176789706,6.72763176789706,0,0,1,0.8409539709871325,0.8409539709871325
0,1,scen_02,6.164093076572951,6.164093076572951,0,0,1,0.7705116345716189,0.7705116345716189
0,2,scen_02,7.736991526913414,7.736991526913414,0,0,1,0.9671239408641767,0.9671239408641767
0,3,scen_02,7.5921172523217635,7.592117252321765,0,0,1,0.9490146565402204,0.9490146565402207
0,4,scen_02,7.220305474370002,7.220305474370003,0,0,1,0.9025381842962502,0.9025381842962503
0,5,scen_02,4.874682917389981,4.874682917389981,0,0,1,0.6093353646737476,0.6093353646737476
0,6,scen_02,7.989411091820413,7.989411091820415,0,0,1,0.9986763864775516,0.9986763864775519
0,7,scen_02,3.8320801267658005,3.832080126765801,0,0,1,0.47901001584572506,0.4790100158457251
0,8,scen_02,7.487044450839124,7.487044450839124,0,0,1,0.9358805563548905,0.9358805563548905
0,9,scen_02,6.945572543723089,6.945572543723088,0,0,1,0.8681965679653861,0.868196567965386
0,10,scen_02,2.4305277789667383,2.4305277789667388,0,0,1,0.3038159723708423,0.30381597237084235
0,11,scen_02,4.973287002274956,4.973287002274955,0,0,1,0.6216608752843695,0.6216608752843694
0,12,scen_02,6.202520584546671,6.202520584546671,0,0,1,0.7753150730683339,0.7753150730683339
0,13,scen_02,7.336311309478175,7.336311309478175,0,0,1,0.9170389136847719,0.9170389136847719
0,14,scen_02,7.258322025406881,7.25832202540688,0,0,1,0.9072902531758601,0.90729025317586
0,15,scen_02,6.677689790602992,6.677689790602992,0,0,1,0.834711223825374,0.834711223825374
0,16,scen_02,6.533729999885188,6.533729999885187,0,0,1,0.8167162499856485,0.8167162499856484
0,17,scen_02,6.4097714717325145,6.4097714717325145,0,0,1,0.8012214339665643,0.8012214339665643
0,18,scen_02,7.829653330789276,7.8296533307892755,0,0,1,0.9787066663486595,0.9787066663486594
0,19,scen_02,7.6784696350139034,7.6784696350139034,0,0,1,0.9598087043767379,0.9598087043767379
0,20,scen_02,6.7709495848567975,6.7709495848567975,0,0,1,0.8463686981070997,0.8463686981070997
0,21,scen_02,5.291732940853587,5.291732940853588,0,0,1,0.6614666176066983,0.6614666176066984
0,22,scen_02,5.344664654776817,5.3446646547768175,0,0,1,0.6680830818471021,0.6680830818471022
0,23,scen_02,6.97093512388699,6.970935123886991,0,0,1,0.8713668904858738,0.8713668904858739
1,0,scen_02,4.928604041756158,4.9286040417561585,0,0,1,0.6160755052195197,0.6160755052195198
1,1,scen_02,7.0823987228008525,7.082398722800853,0,0,1,0.8852998403501066,0.8852998403501067
1,2,scen_02,6.616003721973967,6.616003721973967,0,0,1,0.8270004652467459,0.8270004652467459
1,3,scen_02,7.241945995833194,7.241945995833194,0,0,1,0.9052432494791492,0.9052432494791492
1,4,scen_02,6.640463780684319,6.64046378068432,0,0,1,0.8300579725855399,0.83005797258554
1,5,scen_02,6.714310521565898,6.714310521565898,0,0,1,0.8392888151957373,0.8392888151957373
1,6,scen_02,7.684089607519884,7.684089607519884,0,0,1,0.9605112009399855,0.9605112009399855
1,7,scen_02,6.663263647248707,6.663263647248707,0,0,1,0.8329079559060883,0.8329079559060883
1,8,scen_02,5.886051602012616,5.886051602012616,0,0,1,0.735756450251577,0.735756450251577
