scenario,peak_server_load,peak_committed_server_load,peak_server_overbooking_ratio,gamma_count,phi_count,active_server_periods,peak_cluster_load,peak_cluster_committed_load,peak_cluster_overbooking_ratio,peak_server_utilization
scen_01,7.965297141434583,9.117734278630943,1.1397167848288678,0,0,120,33.406073272352145,33.553829547685595,0.8388457386921399,0.9956621426793228
scen_02,7.98170495762104,8.132939663560544,1.016617457945068,0,0,120,33.646808625688585,33.646808625688585,0.8411702156422146,0.99771311970263
scen_03,7.9958801326419735,8.2046175872141,1.0255771984017625,0,0,120,35.295080920593264,35.295080920593264,0.8823770230148316,0.9994850165802467
scen_04,7.997161262714604,7.997161262714604,0.9996451578393255,0,0,120,34.139535448318725,34.139535448318725,0.8534883862079681,0.9996451578393255
scen_05,7.994369010386258,7.994369010386258,0.9992961262982822,0,0,120,33.51437468159335,33.51437468159335,0.8378593670398338,0.9992961262982822
scen_06,7.9664189932280225,7.966418993228022,0.9958023741535027,0,0,120,33.45937888222969,33.45937888222969,0.8364844720557423,0.9958023741535028
scen_07,7.963339660033648,8.374515459814189,1.0468144324767736,0,0,120,33.714121935312235,34.43609014903339,0.8609022537258347,0.995417457504206
scen_08,7.994215023402731,7.994215023402732,0.9992768779253415,0,0,120,33.695408296850005,33.695408296850005,0.8423852074212501,0.9992768779253414
scen_09,7.881620857055587,8.584147151173617,1.0730183938967022,0,0,120,32.879496783333906,32.8794967833339,0.8219874195833474,0.9852026071319484
scen_10,7.951515492115899,9.051377361721672,1.131422170215209,0,0,120,32.75009710018978,33.01989637490281,0.8254974093725702,0.9939394365144874
