workload_id,scenario,server,start_time,end_time,duration_hours
sp_00,scen_09,0,6,6,1
sp_00,scen_09,0,12,12,1
sp_00,scen_09,0,19,20,2
sp_00,scen_10,0,2,2,1
sp_00,scen_10,0,19,20,2
sp_00,scen_10,0,23,23,1
sp_01,scen_07,2,15,15,1
sp_01,scen_07,2,22,22,1
sp_02,scen_02,0,17,17,1
sp_02,scen_02,0,19,20,2
sp_02,scen_07,0,2,2,1
sp_02,scen_07,0,4,4,1
sp_02,scen_07,0,14,14,1
sp_02,scen_07,0,23,23,1
sp_03,scen_01,0,12,12,1
sp_03,scen_01,0,14,14,1
sp_03,scen_01,0,19,20,2
sp_03,scen_03,0,6,6,1
sp_03,scen_03,0,13,13,1
sp_03,scen_03,0,19,20,2
sp_04,scen_01,3,3,3,1
sp_04,scen_01,3,5,5,1
sp_04,scen_01,3,16,16,1
sp_04,scen_02,3,5,5,1
sp_04,scen_02,3,9,10,2
sp_04,scen_02,3,23,23,1
