scenario,peak_server_load,peak_committed_server_load,peak_server_overbooking_ratio,gamma_count,phi_count,active_server_periods,peak_cluster_load,peak_cluster_committed_load,peak_cluster_overbooking_ratio,peak_server_utilization
scen_01,7.966113718586291,9.78867393850482,1.2235842423131025,0,0,96,28.52966565732972,32.57312412421583,1.0179101288817447,0.9957642148232864
scen_02,7.938932974287791,8.890783540780038,1.1113479425975048,0,0,96,29.649234646972968,30.648079989579195,0.9577524996743498,0.9923666217859739
scen_03,7.98705438053398,9.59972839653629,1.1999660495670363,1,1,96,30.236257425666665,32.018860757131414,1.0005893986603567,0.9983817975667475
scen_04,7.989659957205092,9.561308247400806,1.1951635309251007,0,0,96,29.463350808021147,30.72188368490221,0.960058865153194,0.9987074946506365
scen_05,7.979996053435155,9.613255647158983,1.2016569558948729,0,0,96,28.581555708648196,33.19146800027744,1.03723337500867,0.9974995066793944
scen_06,7.9696377605343045,8.819413052923675,1.1024266316154594,0,0,96,29.672636301460656,30.99418801398581,0.9685683754370565,0.9962047200667881
scen_07,7.997201633687611,9.21997182395135,1.1524964779939189,0,0,96,30.19406616692858,31.033498742732263,0.9697968357103832,0.9996502042109514
scen_08,7.929766866432495,8.590175640783585,1.073771955097948,0,0,96,29.892092744149846,29.961066043218604,0.9362833138505814,0.9912208583040619
scen_09,7.995474207525897,8.13964354017967,1.0174554425224587,0,0,96,30.336971194864788,30.336971194864788,0.9480303498395246,0.9994342759407371
scen_10,7.929242070621212,9.069622940738611,1.1337028675923264,0,0,96,29.94086339991788,29.94086339991788,0.9356519812474338,0.9911552588276515
