server,time,scenario,load,committed_load,gamma,phi,u,realized_utilization,overbooking_ratio
0,0,scen_01,6.870580655708872,6.870580655708871,0,0,1,0.858822581963609,0.8588225819636088
0,1,scen_01,6.614231123810143,6.614231123810143,0,0,1,0.8267788904762678,0.8267788904762678
0,2,scen_01,7.098256132671079,7.098256132671079,0,0,1,0.8872820165838848,0.8872820165838848
0,3,scen_01,6.380868465940324,6.380868465940323,0,0,1,0.7976085582425405,0.7976085582425404
0,4,scen_01,6.915246276118924,6.915246276118925,0,0,1,0.8644057845148655,0.8644057845148656
0,5,scen_01,4.3235159428635495,4.323515942863549,0,0,1,0.5404394928579437,0.5404394928579436
0,6,scen_01,4.464190989124859,4.46419098912486,0,0,1,0.5580238736406073,0.5580238736406075
0,7,scen_01,6.538189599133457,6.5381895991334575,0,0,1,0.8172736998916821,0.8172736998916822
0,8,scen_01,5.436261900152073,5.436261900152074,0,0,1,0.6795327375190091,0.6795327375190092
0,9,scen_01,4.788622386179936,4.788622386179935,0,0,1,0.598577798272492,0.5985777982724919
0,10,scen_01,6.365403841200099,6.365403841200099,0,0,1,0.7956754801500123,0.7956754801500123
0,11,scen_01,7.01890525399572,7.01890525399572,0,0,1,0.877363156749465,0.877363156749465
0,12,scen_01,4.445994929717415,9.117135857822637,0,0,1,0.5557493662146769,1.1396419822278296
0,13,scen_01,6.309419209071428,6.309419209071429,0,0,1,0.7886774011339285,0.7886774011339286
0,14,scen_01,5.502784474365496,9.78867393850482,0,0,1,0.687848059295687,1.2235842423131025
0,15,scen_01,3.4367154562327364,7.298760914517241,0,0,1,0.42958943202909206,0.9123451143146551
0,16,scen_01,5.719287165792571,5.71928716579257,0,0,1,0.7149108957240714,0.7149108957240713
0,17,scen_01,5.841519980925469,5.84151998092547,0,0,1,0.7301899976156836,0.7301899976156837
0,18,scen_01,5.324138906033536,5.324138906033537,0,0,1,0.665517363254192,0.6655173632541921
0,19,scen_01,5.8086574926913,5.8086574926912995,0,0,1,0.7260821865864125,0.7260821865864124
0,20,scen_01,6.511709687298859,6.51170968729886,0,0,1,0.8139637109123574,0.8139637109123575
0,21,scen_01,7.235081281072926,7.235081281072927,0,0,1,0.9043851601341157,0.9043851601341159
0,22,scen_01,5.8296039467053244,5.8296039467053244,0,0,1,0.7287004933381656,0.7287004933381656
0,23,scen_01,5.624184722933615,7.083823508977349,0,0,1,0.7030230903667019,0.8854779386221686
1,0,scen_01,6.049904899927881,6.049904899927881,0,0,1,0.7562381124909852,0.7562381124909852
