workload_id,scenario,server,start_time,end_time,duration_hours
sp_00,scen_01,0,7,7,1
sp_00,scen_01,0,13,13,1
sp_00,scen_01,0,17,17,1
sp_00,scen_01,0,22,22,1
sp_00,scen_08,0,6,6,1
sp_00,scen_08,0,11,11,1
sp_00,scen_08,0,14,14,1
sp_00,scen_08,0,19,19,1
sp_01,scen_02,3,13,14,2
sp_01,scen_02,3,17,17,1
sp_01,scen_02,3,19,19,1
sp_01,scen_10,3,9,10,2
sp_01,scen_10,3,17,17,1
sp_01,scen_10,3,19,19,1
sp_02,scen_04,0,3,4,2
sp_02,scen_04,0,6,6,1
sp_02,scen_04,0,20,20,1
sp_02,scen_07,0,1,1,1
sp_02,scen_07,0,6,6,1
sp_02,scen_07,0,11,11,1
sp_02,scen_07,0,14,14,1
sp_03,scen_01,1,6,6,1
sp_03,scen_01,1,10,10,1
sp_03,scen_01,1,14,14,1
sp_03,scen_01,1,18,18,1
sp_03,scen_06,1,8,8,1
sp_03,scen_06,1,10,10,1
sp_03,scen_06,1,14,14,1
sp_04,scen_06,0,3,3,1
sp_04,scen_06,0,12,12,1
sp_04,scen_06,0,14,14,1
sp_04,scen_06,0,17,17,1
sp_04,scen_08,0,8,9,2
sp_04,scen_08,0,20,20,1
sp_04,scen_08,0,22,22,1
sp_05,scen_03,0,5,5,1
sp_05,scen_03,0,15,16,2
sp_05,scen_03,0,21,21,1
sp_05,scen_05,0,7,7,1
sp_05,scen_05,0,12,12,1
sp_05,scen_05,0,16,16,1
sp_05,scen_05,0,22,22,1
sp_06,scen_03,2,3,3,1
sp_06,scen_03,2,13,13,1
sp_06,scen_03,2,15,16,2
sp_06,scen_09,2,12,12,1
sp_06,scen_09,2,16,16,1
sp_06,scen_09,2,21,22,2
sp_07,scen_06,2,0,0,1
sp_07,scen_06,2,7,7,1
sp_07,scen_06,2,21,22,2
sp_07,scen_08,2,10,10,1
sp_07,scen_08,2,15,15,1
sp_07,scen_08,2,17,17,1
sp_07,scen_08,2,23,23,1
sp_08,scen_02,0,7,7,1
sp_08,scen_02,0,11,11,1
sp_08,scen_02,0,16,16,1
sp_08,scen_02,0,21,21,1
sp_08,scen_10,0,11,11,1
sp_08,scen_10,0,15,15,1
sp_08,scen_10,0,17,17,1
sp_08,scen_10,0,21,21,1
sp_09,scen_03,1,12,13,2
sp_09,scen_08,1,5,5,1
sp_09,scen_08,1,14,14,1
sp_10,scen_01,3,7,7,1
sp_10,scen_01,3,12,12,1
sp_10,scen_01,3,14,14,1
sp_10,scen_01,3,21,21,1
sp_10,scen_07,3,4,5,2
sp_10,scen_07,3,13,13,1
sp_10,scen_07,3,20,20,1
sp_11,scen_01,2,2,2,1
sp_11,scen_01,2,16,16,1
sp_11,scen_01,2,23,23,1
sp_11,scen_05,2,12,13,2
sp_11,scen_05,2,18,18,1
sp_11,scen_05,2,20,20,1
sp_12,scen_04,3,14,14,1
sp_12,scen_04,3,18,18,1
sp_12,scen_04,3,20,20,1
sp_12,scen_04,3,22,22,1
sp_12,scen_05,3,9,9,1
sp_12,scen_05,3,12,13,2
sp_12,scen_05,3,23,23,1
sp_13,scen_06,2,9,9,1
sp_13,scen_06,2,12,12,1
sp_13,scen_06,2,14,14,1
sp_13,scen_06,2,18,18,1
sp_13,scen_10,2,9,9,1
sp_13,scen_10,2,11,12,2
sp_13,scen_10,2,15,15,1
