variant,status,runtime,nodes,iter_count,bar_iter_count,variables,binary_vars,constraints,objective,bound,gap,sol_count,barload_mode,exact_indicator_uppers,od_chance_budget,spot_chance_budget,spot_service_ratio,migration,batch_completion,slot_symmetry
base,OPTIMAL,2.548219919204712,1.0,18129.0,0.0,5808,3648,12703,5756.679892953066,5709.698796738068,0.008161144459762085,10,bigm,1,1,1,1,1,1,0
barload_none,OPTIMAL,0.22266602516174316,1.0,519.0,0.0,4944,3216,10975,5756.679892953067,5756.679892953065,0.0,3,none,1,1,1,1,1,1,0
barload_indicator,OPTIMAL,0.27631092071533203,1.0,526.0,0.0,5808,3648,11839,5756.679892953067,5756.679892953067,0.0,3,indicator,1,1,1,1,1,1,0
no_exact_indicator_uppers,OPTIMAL,2.5313949584960938,1.0,18129.0,0.0,5808,3648,12247,5756.679892953066,5709.698796738068,0.008161144459762085,10,bigm,0,1,1,1,1,1,0
no_od_chance_budget,OPTIMAL,3.5306930541992188,1.0,19332.0,0.0,5808,3648,12697,5756.67989295306,5699.303148333672,0.0099669854301999,5,bigm,1,0,1,1,1,1,0
no_spot_chance_budget,OPTIMAL,6.430429935455322,1.0,27889.0,0.0,5808,3648,12551,5392.241334044076,5342.903106464925,0.009149855231377088,10,bigm,1,1,0,1,1,1,0
no_spot_service_ratio,OPTIMAL,2.55181884765625,1.0,18129.0,0.0,5808,3648,12697,5756.679892953066,5704.855396951394,0.009002497440427743,10,bigm,1,1,1,0,1,1,0
no_migration,OPTIMAL,0.6071548461914062,1.0,4168.0,0.0,5670,3510,11869,5756.679892953066,5756.679892953066,0.0,6,bigm,1,1,1,1,0,1,0
no_batch_completion,OPTIMAL,0.6215338706970215,1.0,3033.0,0.0,5808,3648,12697,4472.055421135579,4440.452060727897,0.007066853478228363,4,bigm,1,1,1,1,1,0,0
slot_symmetry,OPTIMAL,0.30739688873291016,1.0,1102.0,0.0,5808,3648,12708,5756.679892953065,5756.679892953065,0.0,4,bigm,1,1,1,1,1,1,1
