k,n,t,i,usage
0,4,0,0,0.0073835309234733
0,4,1,0,0.0073835309234733
0,4,2,0,0.0073835309234733
0,4,3,0,0.0073835309234733
0,4,4,0,0.0073835309234733
0,4,6,0,0.0073835309234733
0,4,7,0,0.0073835309234733
0,4,8,0,0.0073835309234733
0,4,9,0,0.0073835309234733
0,4,10,0,0.0073835309234733
0,4,11,0,0.0073835309234733
0,4,13,0,0.0073835309234733
0,4,14,0,0.0073835309234733
0,4,15,0,0.0073835309234733
0,4,16,0,0.0073835309234733
0,4,18,0,0.0073835309234733
0,4,19,1,0.0073835309234733
0,4,22,1,0.0073835309234733
1,4,0,0,0.07405944833290187
1,4,3,0,0.07405944833290187
1,4,5,0,0.07405944833290187
1,4,6,0,0.07405944833290187
1,4,7,0,0.07405944833290187
1,4,8,0,0.07405944833290187
1,4,9,0,0.07405944833290187
1,4,10,0,0.07405944833290187
1,4,11,0,0.07405944833290187
1,4,12,0,0.07405944833290187
1,4,13,0,0.07405944833290187
1,4,14,0,0.07405944833290187
1,4,15,0,0.07405944833290187
1,4,16,0,0.07405944833290187
1,4,18,0,0.07405944833290187
1,4,19,1,0.07405944833290187
1,4,22,1,0.07405944833290187
1,4,23,1,0.07405944833290187
