constr_name,rhs,slack
R0,0.0,0.0
R1,0.0,0.0
R2,0.0,0.0
R3,0.0,0.0
R4,0.0,0.0
R5,0.0,0.0
R6,0.0,0.0
R7,0.0,0.0
R8,0.0,0.0
R9,0.0,0.0
R10,0.0,0.0
R11,0.0,0.0
R12,0.0,0.0
R13,0.0,0.0
R14,0.0,0.0
R15,0.0,0.0
R16,0.0,0.0
R17,0.0,0.0
R18,0.0,0.0
R19,0.0,0.0
R20,0.0,0.0
R21,0.0,0.0
R22,0.0,0.0
R23,0.0,1.0
R24,0.0,1.0
R25,0.0,1.0
R26,0.0,1.0
R27,0.0,1.0
R28,0.0,1.0
R29,0.0,1.0
R30,0.0,1.0
R31,0.0,1.0
R32,0.0,1.0
R33,0.0,1.0
R34,0.0,1.0
R35,0.0,1.0
R36,0.0,1.0
R37,0.0,1.0
R38,0.0,1.0
R39,0.0,1.0
R40,0.0,1.0
R41,0.0,1.0
R42,0.0,1.0
R43,0.0,1.0
R44,0.0,1.0
R45,0.0,1.0
R46,0.0,1.0
R47,0.0,1.0
R48,0.0,1.0
R49,0.0,1.0
R50,0.0,1.0
R51,0.0,1.0
R52,0.0,1.0
R53,0.0,1.0
R54,0.0,1.0
R55,0.0,1.0
R56,0.0,1.0
R57,0.0,1.0
R58,0.0,1.0
R59,0.0,1.0
R60,0.0,1.0
R61,0.0,1.0
R62,0.0,1.0
R63,0.0,1.0
R64,0.0,1.0
R65,0.0,1.0
R66,0.0,1.0
R67,0.0,1.0
R68,0.0,1.0
R69,0.0,1.0
R70,0.0,1.0
R71,0.0,1.0
R72,0.0,1.0
R73,0.0,1.0
R74,0.0,1.0
R75,0.0,1.0
R76,0.0,1.0
R77,0.0,1.0
R78,0.0,1.0
R79,0.0,1.0
R80,0.0,1.0
R81,0.0,1.0
R82,0.0,1.0
R83,0.0,1.0
R84,0.0,1.0
R85,0.0,1.0
R86,0.0,1.0
R87,0.0,1.0
R88,0.0,1.0
R89,0.0,1.0
R90,0.0,1.0
R91,0.0,1.0
R92,0.0,1.0
R93,0.0,1.0
R94,0.0,1.0
R95,0.0,1.0
R96,0.0,1.0
R97,0.0,1.0
R98,0.0,1.0
R99,0.0,1.0
R100,0.0,1.0
R101,0.0,1.0
R102,0.0,1.0
R103,0.0,1.0
R104,0.0,1.0
R105,0.0,1.0
R106,0.0,1.0
R107,0.0,1.0
R108,0.0,1.0
R109,0.0,1.0
R110,0.0,1.0
R111,0.0,1.0
R112,0.0,1.0
R113,0.0,1.0
R114,0.0,1.0
R115,0.0,1.0
R116,0.0,1.0
R117,0.0,1.0
R118,0.0,1.0
R119,0.0,1.0
R120,0.0,1.0
R121,0.0,1.0
R122,0.0,1.0
R123,0.0,1.0
R124,0.0,1.0
R125,0.0,1.0
R126,0.0,1.0
R127,0.0,1.0
R128,0.0,1.0
R129,0.0,1.0
R130,0.0,1.0
R131,0.0,1.0
R132,0.0,1.0
R133,0.0,1.0
R134,0.0,1.0
R135,0.0,1.0
R136,0.0,1.0
R137,0.0,1.0
R138,0.0,1.0
R139,0.0,1.0
R140,0.0,1.0
R141,0.0,1.0
R142,0.0,1.0
R143,0.0,1.0
R144,0.0,1.0
R145,0.0,1.0
R146,1.0,0.0
R147,1.0,0.0
R148,1.0,0.0
R149,1.0,0.0
R150,1.0,0.0
R151,1.0,0.0
R152,1.0,0.0
R153,1.0,0.0
R154,1.0,0.0
R155,1.0,0.0
R156,1.0,0.0
R157,1.0,0.0
R158,1.0,0.0
R159,1.0,0.0
R160,1.0,0.0
R161,1.0,0.0
R162,1.0,0.0
R163,1.0,0.0
R164,1.0,0.0
R165,1.0,0.0
R166,1.0,0.0
R167,1.0,0.0
R168,1.0,0.0
R169,1.0,0.0
R170,1.0,0.0
R171,1.0,0.0
R172,1.0,0.0
R173,1.0,0.0
R174,1.0,0.0
R175,1.0,0.0
R176,1.0,0.0
R177,1.0,0.0
R178,1.0,0.0
R179,1.0,0.0
R180,1.0,0.0
R181,1.0,0.0
R182,1.0,0.0
R183,1.0,0.0
R184,1.0,0.0
R185,1.0,0.0
R186,1.0,0.0
R187,1.0,0.0
R188,1.0,0.0
R189,1.0,0.0
R190,1.0,0.0
R191,1.0,0.0
R192,1.0,0.0
R193,1.0,0.0
R194,1.0,0.0
R195,1.0,0.0
R196,1.0,0.0
R197,1.0,0.0
R198,1.0,0.0
R199,1.0,0.0
R200,1.0,0.0
R201,1.0,0.0
R202,1.0,0.0
R203,1.0,0.0
R204,1.0,0.0
R205,1.0,0.0
R206,1.0,0.0
R207,1.0,0.0
R208,1.0,0.0
R209,1.0,0.0
R210,1.0,0.0
R211,1.0,0.0
