k,n,t,i,usage
0,4,6,4,0.0073835309234733
0,4,7,4,0.0073835309234733
0,4,8,4,0.0073835309234733
0,4,9,4,0.0073835309234733
0,4,10,4,0.0073835309234733
0,4,11,4,0.0073835309234733
0,4,12,4,0.0073835309234733
0,4,13,4,0.0073835309234733
0,4,14,4,0.0073835309234733
0,4,15,4,0.0073835309234733
0,4,16,4,0.0073835309234733
0,4,17,4,0.0073835309234733
0,4,18,4,0.0073835309234733
0,4,19,4,0.0073835309234733
0,4,20,4,0.0073835309234733
0,4,21,4,0.0073835309234733
0,4,22,4,0.0073835309234733
0,4,23,4,0.0073835309234733
1,4,3,4,0.07405944833290187
1,4,4,4,0.07405944833290187
1,4,5,4,0.07405944833290187
1,4,6,4,0.07405944833290187
1,4,7,4,0.07405944833290187
1,4,8,4,0.07405944833290187
1,4,9,4,0.07405944833290187
1,4,10,4,0.07405944833290187
1,4,11,4,0.07405944833290187
1,4,12,4,0.07405944833290187
1,4,13,4,0.07405944833290187
1,4,14,4,0.07405944833290187
1,4,15,4,0.07405944833290187
1,4,16,4,0.07405944833290187
1,4,17,4,0.07405944833290187
1,4,18,4,0.07405944833290187
1,4,19,4,0.07405944833290187
1,4,20,4,0.07405944833290187
